Cod_Infracao;UF;Quantidade
5088;GOIAS;1
5088;MATO GROSSO;1
5088;MATO GROSSO DO SUL;5
5088;MINAS GERAIS;7
5088;PARA;3
5088;PARANA;8
5088;PERNAMBUCO;1
5088;RIO DE JANEIRO;2
5088;RIO GRANDE DO SUL;26
5088;RORAIMA;2
5088;SANTA CATARINA;7
5088;SAO PAULO;13
5096;ACRE;4
5096;ALAGOAS;2
5096;AMAZONAS;2
5096;AMAPA;2
5096;BAHIA;16
5096;CEARA;35
5096;DISTRITO FEDERAL;5
5096;ESPIRITO SANTO;4
5096;GOIAS;3
5096;MARANHAO;4
5096;MATO GROSSO;1
5096;MATO GROSSO DO SUL;9
5096;MINAS GERAIS;22
5096;PARA;9
5096;PARAIBA;9
5096;PARANA;35
5096;PERNAMBUCO;4
5096;PIAUI;4
5096;RIO DE JANEIRO;9
5096;RIO GRANDE DO NORTE;1
5096;RIO GRANDE DO SUL;169
5096;RONDONIA;4
5096;RORAIMA;2
5096;SANTA CATARINA;55
5096;SAO PAULO;147
5096;SERGIPE;2
5096;TOCANTINS;1
5100;AMAZONAS;1
5100;BAHIA;1
5100;CEARA;15
5100;MINAS GERAIS;4
5100;PARAIBA;1
5100;PIAUI;2
5100;RIO GRANDE DO NORTE;2
5100;RIO GRANDE DO SUL;3
5100;RORAIMA;1
5100;SANTA CATARINA;2
5100;SAO PAULO;10
5118;ACRE;183
5118;ALAGOAS;205
5118;AMAZONAS;257
5118;AMAPA;172
5118;BAHIA;458
5118;CEARA;1040
5118;DISTRITO FEDERAL;112
5118;ESPIRITO SANTO;605
5118;GOIAS;111
5118;MARANHAO;102
5118;MATO GROSSO;85
5118;MATO GROSSO DO SUL;551
5118;MINAS GERAIS;1500
5118;PARA;275
5118;PARAIBA;139
5118;PARANA;2137
5118;PERNAMBUCO;375
5118;PIAUI;93
5118;RIO DE JANEIRO;228
5118;RIO GRANDE DO NORTE;99
5118;RIO GRANDE DO SUL;730
5118;RONDONIA;76
5118;RORAIMA;131
5118;SANTA CATARINA;1434
5118;SAO PAULO;3329
5118;SERGIPE;69
5118;TOCANTINS;27
5126;ACRE;1
5126;ALAGOAS;1
5126;AMAZONAS;2
5126;BAHIA;3
5126;CEARA;12
5126;DISTRITO FEDERAL;1
5126;ESPIRITO SANTO;33
5126;GOIAS;1
5126;MATO GROSSO DO SUL;12
5126;MINAS GERAIS;58
5126;PARA;1
5126;PARAIBA;1
5126;PARANA;154
5126;PERNAMBUCO;8
5126;RIO DE JANEIRO;8
5126;RIO GRANDE DO NORTE;1
5126;RIO GRANDE DO SUL;81
5126;RONDONIA;3
5126;SANTA CATARINA;163
5126;SAO PAULO;146
5126;SERGIPE;1
5134;ACRE;3
5134;ALAGOAS;3
5134;AMAZONAS;3
5134;AMAPA;6
5134;BAHIA;18
5134;CEARA;41
5134;DISTRITO FEDERAL;10
5134;ESPIRITO SANTO;21
5134;GOIAS;7
5134;MARANHAO;4
5134;MATO GROSSO;4
5134;MATO GROSSO DO SUL;18
5134;MINAS GERAIS;109
5134;PARA;8
5134;PARAIBA;3
5134;PARANA;59
5134;PERNAMBUCO;8
5134;PIAUI;5
5134;RIO DE JANEIRO;20
5134;RIO GRANDE DO NORTE;10
5134;RIO GRANDE DO SUL;58
5134;RONDONIA;3
5134;RORAIMA;1
5134;SANTA CATARINA;30
5134;SAO PAULO;220
5134;SERGIPE;4
5134;TOCANTINS;1
5142;ACRE;41
5142;ALAGOAS;10
5142;AMAZONAS;5
5142;AMAPA;40
5142;BAHIA;152
5142;CEARA;281
5142;DISTRITO FEDERAL;45
5142;ESPIRITO SANTO;112
5142;GOIAS;37
5142;MARANHAO;15
5142;MATO GROSSO;15
5142;MATO GROSSO DO SUL;95
5142;MINAS GERAIS;274
5142;PARA;29
5142;PARAIBA;31
5142;PARANA;301
5142;PERNAMBUCO;56
5142;PIAUI;16
5142;RIO DE JANEIRO;48
5142;RIO GRANDE DO NORTE;28
5142;RIO GRANDE DO SUL;211
5142;RONDONIA;17
5142;RORAIMA;3
5142;SANTA CATARINA;313
5142;SAO PAULO;1278
5142;SERGIPE;29
5142;TOCANTINS;1
5150;ACRE;1
5150;ALAGOAS;2
5150;AMAPA;1
5150;BAHIA;11
5150;CEARA;103
5150;DISTRITO FEDERAL;1
5150;ESPIRITO SANTO;1
5150;GOIAS;3
5150;MARANHAO;1
5150;MATO GROSSO;1
5150;MATO GROSSO DO SUL;1
5150;MINAS GERAIS;17
5150;PARA;4
5150;PARAIBA;2
5150;PARANA;12
5150;PERNAMBUCO;8
5150;PIAUI;5
5150;RIO DE JANEIRO;5
5150;RIO GRANDE DO NORTE;5
5150;RIO GRANDE DO SUL;28
5150;SANTA CATARINA;16
5150;SAO PAULO;41
5150;SERGIPE;2
5169;ACRE;105
5169;ALAGOAS;56
5169;AMAZONAS;67
5169;AMAPA;65
5169;BAHIA;96
5169;CEARA;34
5169;DISTRITO FEDERAL;485
5169;ESPIRITO SANTO;116
5169;GOIAS;143
5169;MARANHAO;245
5169;MATO GROSSO;561
5169;MATO GROSSO DO SUL;168
5169;MINAS GERAIS;2958
5169;PARA;316
5169;PARAIBA;48
5169;PARANA;645
5169;PERNAMBUCO;179
5169;PIAUI;83
5169;RIO DE JANEIRO;89
5169;RIO GRANDE DO NORTE;154
5169;RIO GRANDE DO SUL;268
5169;RONDONIA;89
5169;RORAIMA;9
5169;SANTA CATARINA;261
5169;SAO PAULO;1387
5169;SERGIPE;38
5169;TOCANTINS;33
5177;ACRE;18
5177;AMAZONAS;1
5177;BAHIA;6
5177;CEARA;3
5177;DISTRITO FEDERAL;1
5177;GOIAS;4
5177;MARANHAO;3
5177;MATO GROSSO;6
5177;MATO GROSSO DO SUL;8
5177;MINAS GERAIS;92
5177;PARA;7
5177;PARANA;28
5177;RIO DE JANEIRO;1
5177;RIO GRANDE DO SUL;16
5177;RONDONIA;1
5177;SANTA CATARINA;3
5177;SAO PAULO;35
5177;SERGIPE;1
5177;TOCANTINS;1
5185;ACRE;169
5185;ALAGOAS;1037
5185;AMAZONAS;5408
5185;AMAPA;473
5185;BAHIA;5992
5185;CEARA;4297
5185;DISTRITO FEDERAL;4542
5185;ESPIRITO SANTO;2465
5185;GOIAS;3788
5185;MARANHAO;2123
5185;MATO GROSSO;4600
5185;MATO GROSSO DO SUL;4029
5185;MINAS GERAIS;18436
5185;PARA;2115
5185;PARAIBA;2631
5185;PARANA;16306
5185;PERNAMBUCO;3375
5185;PIAUI;7698
5185;RIO DE JANEIRO;10154
5185;RIO GRANDE DO NORTE;1030
5185;RIO GRANDE DO SUL;7150
5185;RONDONIA;760
5185;RORAIMA;4929
5185;SANTA CATARINA;14825
5185;SAO PAULO;98175
5185;SERGIPE;2570
5185;TOCANTINS;447
5193;ACRE;16
5193;ALAGOAS;71
5193;AMAZONAS;188
5193;AMAPA;34
5193;BAHIA;387
5193;CEARA;288
5193;DISTRITO FEDERAL;172
5193;ESPIRITO SANTO;197
5193;GOIAS;129
5193;MARANHAO;182
5193;MATO GROSSO;491
5193;MATO GROSSO DO SUL;227
5193;MINAS GERAIS;1132
5193;PARA;235
5193;PARAIBA;104
5193;PARANA;1631
5193;PERNAMBUCO;239
5193;PIAUI;175
5193;RIO DE JANEIRO;235
5193;RIO GRANDE DO NORTE;80
5193;RIO GRANDE DO SUL;541
5193;RONDONIA;77
5193;RORAIMA;140
5193;SANTA CATARINA;797
5193;SAO PAULO;4010
5193;SERGIPE;81
5193;TOCANTINS;35
5207;ACRE;42
5207;ALAGOAS;158
5207;AMAZONAS;93
5207;AMAPA;8
5207;BAHIA;343
5207;CEARA;150
5207;DISTRITO FEDERAL;169
5207;ESPIRITO SANTO;134
5207;GOIAS;72
5207;MARANHAO;104
5207;MATO GROSSO;102
5207;MATO GROSSO DO SUL;90
5207;MINAS GERAIS;806
5207;PARA;56
5207;PARAIBA;72
5207;PARANA;406
5207;PERNAMBUCO;185
5207;PIAUI;50
5207;RIO DE JANEIRO;262
5207;RIO GRANDE DO NORTE;87
5207;RIO GRANDE DO SUL;345
5207;RONDONIA;55
5207;RORAIMA;748
5207;SANTA CATARINA;662
5207;SAO PAULO;3890
5207;SERGIPE;117
5207;TOCANTINS;11
5215;ACRE;14
5215;ALAGOAS;19
5215;AMAZONAS;54
5215;AMAPA;5
5215;BAHIA;159
5215;CEARA;41
5215;DISTRITO FEDERAL;88
5215;ESPIRITO SANTO;28
5215;GOIAS;20
5215;MARANHAO;38
5215;MATO GROSSO;30
5215;MATO GROSSO DO SUL;19
5215;MINAS GERAIS;346
5215;PARA;62
5215;PARAIBA;34
5215;PARANA;136
5215;PERNAMBUCO;41
5215;PIAUI;18
5215;RIO DE JANEIRO;364
5215;RIO GRANDE DO NORTE;18
5215;RIO GRANDE DO SUL;40
5215;RONDONIA;7
5215;RORAIMA;1
5215;SANTA CATARINA;103
5215;SAO PAULO;1134
5215;SERGIPE;20
5215;TOCANTINS;4
5223;ACRE;1
5223;AMAZONAS;1
5223;AMAPA;1
5223;BAHIA;1
5223;CEARA;4
5223;DISTRITO FEDERAL;4
5223;ESPIRITO SANTO;3
5223;MATO GROSSO DO SUL;1
5223;MINAS GERAIS;12
5223;PARA;1
5223;PARANA;7
5223;PERNAMBUCO;4
5223;PIAUI;1
5223;RIO DE JANEIRO;2
5223;RIO GRANDE DO NORTE;1
5223;RIO GRANDE DO SUL;6
5223;RONDONIA;2
5223;SANTA CATARINA;4
5223;SAO PAULO;17
5223;SERGIPE;1
5231;ACRE;1
5231;ALAGOAS;2
5231;AMAZONAS;2
5231;AMAPA;1
5231;BAHIA;9
5231;CEARA;4
5231;DISTRITO FEDERAL;17
5231;ESPIRITO SANTO;13
5231;GOIAS;2
5231;MARANHAO;4
5231;MATO GROSSO;6
5231;MATO GROSSO DO SUL;5
5231;MINAS GERAIS;96
5231;PARA;4
5231;PARANA;79
5231;PERNAMBUCO;12
5231;RIO DE JANEIRO;30
5231;RIO GRANDE DO NORTE;2
5231;RIO GRANDE DO SUL;32
5231;RONDONIA;1
5231;RORAIMA;6
5231;SANTA CATARINA;68
5231;SAO PAULO;242
5231;SERGIPE;3
5231;TOCANTINS;1
5240;BAHIA;2
5240;CEARA;1
5240;DISTRITO FEDERAL;2
5240;GOIAS;1
5240;MARANHAO;4
5240;MATO GROSSO;6
5240;MINAS GERAIS;2
5240;PARA;49
5240;PARANA;5
5240;PERNAMBUCO;1
5240;RIO DE JANEIRO;7
5240;RIO GRANDE DO SUL;1
5240;SANTA CATARINA;6
5240;SAO PAULO;40
5240;TOCANTINS;1
5258;ACRE;2
5258;ALAGOAS;3
5258;AMAPA;1
5258;BAHIA;13
5258;CEARA;2
5258;DISTRITO FEDERAL;18
5258;ESPIRITO SANTO;3
5258;GOIAS;3
5258;MARANHAO;8
5258;MATO GROSSO;1
5258;MATO GROSSO DO SUL;2
5258;MINAS GERAIS;65
5258;PARA;7
5258;PARAIBA;2
5258;PERNAMBUCO;4
5258;RIO DE JANEIRO;4
5258;RIO GRANDE DO SUL;2
5258;SANTA CATARINA;8
5258;SAO PAULO;117
5266;AMAZONAS;1
5266;BAHIA;62
5266;CEARA;2
5266;DISTRITO FEDERAL;5
5266;ESPIRITO SANTO;12
5266;GOIAS;2
5266;MARANHAO;2
5266;MATO GROSSO DO SUL;4
5266;MINAS GERAIS;21
5266;PARA;2
5266;PARANA;21
5266;PERNAMBUCO;2
5266;RIO DE JANEIRO;11
5266;RIO GRANDE DO NORTE;2
5266;RIO GRANDE DO SUL;22
5266;RONDONIA;1
5266;SANTA CATARINA;9
5266;SAO PAULO;137
5266;SERGIPE;1
5266;TOCANTINS;1
5274;ACRE;21
5274;ALAGOAS;71
5274;AMAZONAS;27
5274;AMAPA;21
5274;BAHIA;286
5274;CEARA;123
5274;DISTRITO FEDERAL;256
5274;ESPIRITO SANTO;60
5274;GOIAS;43
5274;MARANHAO;186
5274;MATO GROSSO;139
5274;MATO GROSSO DO SUL;81
5274;MINAS GERAIS;559
5274;PARA;56
5274;PARAIBA;39
5274;PARANA;372
5274;PERNAMBUCO;150
5274;PIAUI;45
5274;RIO DE JANEIRO;40
5274;RIO GRANDE DO NORTE;28
5274;RIO GRANDE DO SUL;196
5274;RONDONIA;20
5274;RORAIMA;2
5274;SANTA CATARINA;327
5274;SAO PAULO;1799
5274;SERGIPE;31
5274;TOCANTINS;6
5282;ACRE;3
5282;ALAGOAS;1
5282;AMAPA;1
5282;BAHIA;3
5282;CEARA;2
5282;DISTRITO FEDERAL;10
5282;ESPIRITO SANTO;9
5282;GOIAS;1
5282;MARANHAO;3
5282;MATO GROSSO;3
5282;MATO GROSSO DO SUL;11
5282;MINAS GERAIS;43
5282;PARA;1
5282;PARAIBA;2
5282;PARANA;13
5282;PERNAMBUCO;2
5282;PIAUI;2
5282;RIO DE JANEIRO;4
5282;RIO GRANDE DO NORTE;1
5282;RIO GRANDE DO SUL;5
5282;SANTA CATARINA;16
5282;SAO PAULO;28
5282;SERGIPE;1
5282;TOCANTINS;1
5290;ACRE;1
5290;ALAGOAS;1
5290;BAHIA;1
5290;CEARA;1
5290;DISTRITO FEDERAL;4
5290;ESPIRITO SANTO;4
5290;MARANHAO;2
5290;MATO GROSSO;2
5290;MATO GROSSO DO SUL;1
5290;MINAS GERAIS;6
5290;PARANA;4
5290;PIAUI;1
5290;RIO GRANDE DO SUL;4
5290;SANTA CATARINA;17
5290;SAO PAULO;7
5304;AMAPA;1
5304;BAHIA;3
5304;DISTRITO FEDERAL;3
5304;ESPIRITO SANTO;2
5304;GOIAS;1
5304;MATO GROSSO;2
5304;MATO GROSSO DO SUL;5
5304;MINAS GERAIS;23
5304;PARANA;3
5304;PERNAMBUCO;1
5304;PIAUI;2
5304;RIO DE JANEIRO;1
5304;RIO GRANDE DO SUL;1
5304;SANTA CATARINA;10
5304;SAO PAULO;16
5312;CEARA;1
5312;MINAS GERAIS;1
5312;PARAIBA;1
5312;PARANA;3
5312;SAO PAULO;1
5320;AMAPA;1
5320;DISTRITO FEDERAL;1
5320;ESPIRITO SANTO;6
5320;GOIAS;1
5320;MATO GROSSO;1
5320;MATO GROSSO DO SUL;1
5320;MINAS GERAIS;20
5320;PARANA;10
5320;PERNAMBUCO;2
5320;PIAUI;1
5320;RIO DE JANEIRO;1
5320;RIO GRANDE DO NORTE;4
5320;RIO GRANDE DO SUL;2
5320;SANTA CATARINA;14
5320;SAO PAULO;16
5320;SERGIPE;1
5347;CEARA;2
5347;DISTRITO FEDERAL;2
5347;ESPIRITO SANTO;1
5347;MATO GROSSO DO SUL;3
5347;MINAS GERAIS;29
5347;PARANA;15
5347;PERNAMBUCO;6
5347;RIO DE JANEIRO;1
5347;RIO GRANDE DO NORTE;1
5347;RIO GRANDE DO SUL;21
5347;RORAIMA;2
5347;SANTA CATARINA;11
5347;SAO PAULO;19
5347;SERGIPE;7
5355;BAHIA;2
5355;GOIAS;2
5355;MARANHAO;2
5355;MINAS GERAIS;3
5355;PARA;1
5355;PERNAMBUCO;1
5355;RIO DE JANEIRO;1
5355;SANTA CATARINA;3
5355;SAO PAULO;3
5363;AMAZONAS;1
5363;BAHIA;1
5363;ESPIRITO SANTO;1
5363;MARANHAO;3
5363;MATO GROSSO DO SUL;2
5363;PARA;3
5363;PARANA;1
5363;RIO GRANDE DO SUL;1
5363;SAO PAULO;12
5363;SERGIPE;2
5371;ALAGOAS;1
5371;AMAZONAS;9
5371;BAHIA;4
5371;CEARA;2
5371;DISTRITO FEDERAL;4
5371;ESPIRITO SANTO;4
5371;GOIAS;4
5371;MARANHAO;6
5371;MATO GROSSO;6
5371;MATO GROSSO DO SUL;2
5371;MINAS GERAIS;48
5371;PARA;3
5371;PARANA;13
5371;PERNAMBUCO;4
5371;PIAUI;2
5371;RIO DE JANEIRO;3
5371;RIO GRANDE DO NORTE;3
5371;RIO GRANDE DO SUL;24
5371;RONDONIA;3
5371;RORAIMA;2
5371;SANTA CATARINA;28
5371;SAO PAULO;154
5371;SERGIPE;4
5371;TOCANTINS;1
5380;ACRE;32
5380;ALAGOAS;56
5380;AMAZONAS;131
5380;AMAPA;16
5380;BAHIA;367
5380;CEARA;1273
5380;DISTRITO FEDERAL;127
5380;ESPIRITO SANTO;122
5380;GOIAS;139
5380;MARANHAO;178
5380;MATO GROSSO;255
5380;MATO GROSSO DO SUL;120
5380;MINAS GERAIS;1344
5380;PARA;228
5380;PARAIBA;95
5380;PARANA;332
5380;PERNAMBUCO;389
5380;PIAUI;73
5380;RIO DE JANEIRO;1285
5380;RIO GRANDE DO NORTE;128
5380;RIO GRANDE DO SUL;142
5380;RONDONIA;31
5380;RORAIMA;28
5380;SANTA CATARINA;378
5380;SAO PAULO;3290
5380;SERGIPE;239
5380;TOCANTINS;20
5398;ACRE;4
5398;ALAGOAS;7
5398;AMAZONAS;2
5398;AMAPA;1
5398;BAHIA;46
5398;CEARA;26
5398;DISTRITO FEDERAL;3
5398;ESPIRITO SANTO;10
5398;GOIAS;4
5398;MARANHAO;43
5398;MATO GROSSO;7
5398;MATO GROSSO DO SUL;20
5398;MINAS GERAIS;84
5398;PARA;14
5398;PARAIBA;9
5398;PARANA;51
5398;PERNAMBUCO;12
5398;PIAUI;4
5398;RIO DE JANEIRO;21
5398;RIO GRANDE DO NORTE;19
5398;RIO GRANDE DO SUL;27
5398;RONDONIA;2
5398;RORAIMA;4
5398;SANTA CATARINA;31
5398;SAO PAULO;175
5398;SERGIPE;16
5398;TOCANTINS;2
5401;ACRE;19
5401;ALAGOAS;13
5401;AMAZONAS;44
5401;AMAPA;4
5401;BAHIA;783
5401;CEARA;281
5401;DISTRITO FEDERAL;15
5401;ESPIRITO SANTO;51
5401;GOIAS;11
5401;MARANHAO;33
5401;MATO GROSSO;11
5401;MATO GROSSO DO SUL;22
5401;MINAS GERAIS;220
5401;PARA;39
5401;PARAIBA;31
5401;PARANA;55
5401;PERNAMBUCO;33
5401;PIAUI;12
5401;RIO DE JANEIRO;30
5401;RIO GRANDE DO NORTE;55
5401;RIO GRANDE DO SUL;39
5401;RONDONIA;12
5401;RORAIMA;3
5401;SANTA CATARINA;42
5401;SAO PAULO;338
5401;SERGIPE;101
5401;TOCANTINS;7
5410;ACRE;10
5410;ALAGOAS;12
5410;AMAZONAS;151
5410;AMAPA;10
5410;BAHIA;405
5410;CEARA;964
5410;DISTRITO FEDERAL;840
5410;ESPIRITO SANTO;52
5410;GOIAS;70
5410;MARANHAO;67
5410;MATO GROSSO;47
5410;MATO GROSSO DO SUL;40
5410;MINAS GERAIS;543
5410;PARA;99
5410;PARAIBA;49
5410;PARANA;150
5410;PERNAMBUCO;161
5410;PIAUI;93
5410;RIO DE JANEIRO;1284
5410;RIO GRANDE DO NORTE;73
5410;RIO GRANDE DO SUL;52
5410;RONDONIA;22
5410;RORAIMA;30
5410;SANTA CATARINA;136
5410;SAO PAULO;448
5410;SERGIPE;25
5410;TOCANTINS;18
5428;ACRE;3
5428;ALAGOAS;5
5428;AMAZONAS;8
5428;AMAPA;18
5428;BAHIA;124
5428;CEARA;38
5428;DISTRITO FEDERAL;44
5428;ESPIRITO SANTO;96
5428;GOIAS;34
5428;MARANHAO;14
5428;MATO GROSSO;35
5428;MATO GROSSO DO SUL;29
5428;MINAS GERAIS;469
5428;PARA;52
5428;PARAIBA;33
5428;PARANA;364
5428;PERNAMBUCO;129
5428;PIAUI;13
5428;RIO DE JANEIRO;995
5428;RIO GRANDE DO NORTE;53
5428;RIO GRANDE DO SUL;83
5428;RONDONIA;15
5428;RORAIMA;7
5428;SANTA CATARINA;227
5428;SAO PAULO;410
5428;SERGIPE;1
5428;TOCANTINS;6
5436;ALAGOAS;3
5436;BAHIA;3
5436;DISTRITO FEDERAL;16
5436;ESPIRITO SANTO;3
5436;MATO GROSSO DO SUL;4
5436;MINAS GERAIS;24
5436;PARANA;1
5436;RIO DE JANEIRO;5
5436;RIO GRANDE DO SUL;4
5436;SANTA CATARINA;12
5436;SAO PAULO;21
5444;ACRE;2
5444;ALAGOAS;44
5444;AMAZONAS;3
5444;AMAPA;8
5444;BAHIA;71
5444;CEARA;87
5444;DISTRITO FEDERAL;24
5444;ESPIRITO SANTO;70
5444;GOIAS;24
5444;MARANHAO;19
5444;MATO GROSSO;28
5444;MATO GROSSO DO SUL;16
5444;MINAS GERAIS;333
5444;PARA;31
5444;PARAIBA;26
5444;PARANA;105
5444;PERNAMBUCO;155
5444;PIAUI;15
5444;RIO DE JANEIRO;908
5444;RIO GRANDE DO NORTE;33
5444;RIO GRANDE DO SUL;77
5444;RONDONIA;5
5444;RORAIMA;2
5444;SANTA CATARINA;356
5444;SAO PAULO;949
5444;SERGIPE;7
5444;TOCANTINS;7
5452;ACRE;272
5452;ALAGOAS;324
5452;AMAZONAS;732
5452;AMAPA;103
5452;BAHIA;5183
5452;CEARA;7321
5452;DISTRITO FEDERAL;1684
5452;ESPIRITO SANTO;1684
5452;GOIAS;859
5452;MARANHAO;1204
5452;MATO GROSSO;962
5452;MATO GROSSO DO SUL;1067
5452;MINAS GERAIS;8710
5452;PARA;998
5452;PARAIBA;1169
5452;PARANA;4731
5452;PERNAMBUCO;3128
5452;PIAUI;1690
5452;RIO DE JANEIRO;14445
5452;RIO GRANDE DO NORTE;1152
5452;RIO GRANDE DO SUL;984
5452;RONDONIA;134
5452;RORAIMA;90
5452;SANTA CATARINA;2859
5452;SAO PAULO;18231
5452;SERGIPE;1376
5452;TOCANTINS;314
5460;ACRE;156
5460;ALAGOAS;27
5460;AMAZONAS;58
5460;AMAPA;5
5460;BAHIA;193
5460;CEARA;130
5460;DISTRITO FEDERAL;36
5460;ESPIRITO SANTO;182
5460;GOIAS;32
5460;MARANHAO;69
5460;MATO GROSSO;67
5460;MATO GROSSO DO SUL;109
5460;MINAS GERAIS;1384
5460;PARA;35
5460;PARAIBA;51
5460;PARANA;852
5460;PERNAMBUCO;317
5460;PIAUI;20
5460;RIO DE JANEIRO;593
5460;RIO GRANDE DO NORTE;52
5460;RIO GRANDE DO SUL;424
5460;RONDONIA;23
5460;RORAIMA;28
5460;SANTA CATARINA;536
5460;SAO PAULO;2588
5460;SERGIPE;59
5460;TOCANTINS;15
5479;ACRE;49
