UF;Cod_Infração;Quantidade
MINAS GERAIS;5053;162
PARA;5053;69
PARAIBA;5053;27
PARANA;5053;50
PERNAMBUCO;5053;108
PIAUI;5053;5
RIO DE JANEIRO;5053;33
RIO GRANDE DO NORTE;5053;33
RIO GRANDE DO SUL;5053;86
RONDONIA;5053;10
RORAIMA;5053;1
SANTA CATARINA;5053;97
SAO PAULO;5053;211
SERGIPE;5053;6
TOCANTINS;5053;1
ACRE;5061;3
ALAGOAS;5061;6
AMAZONAS;5061;8
AMAPA;5061;1
BAHIA;5061;202
CEARA;5061;35
DISTRITO FEDERAL;5061;15
ESPIRITO SANTO;5061;29
GOIAS;5061;57
MARANHAO;5061;13
MATO GROSSO;5061;22
MATO GROSSO DO SUL;5061;37
MINAS GERAIS;5061;190
PARA;5061;50
PARAIBA;5061;19
PARANA;5061;68
PERNAMBUCO;5061;40
PIAUI;5061;2
RIO DE JANEIRO;5061;59
RIO GRANDE DO NORTE;5061;17
RIO GRANDE DO SUL;5061;68
RONDONIA;5061;41
RORAIMA;5061;2
SANTA CATARINA;5061;104
SAO PAULO;5061;376
SERGIPE;5061;6
TOCANTINS;5061;12
BAHIA;5070;1
CEARA;5070;1
ESPIRITO SANTO;5070;1
GOIAS;5070;2
MINAS GERAIS;5070;7
PARANA;5070;26
PERNAMBUCO;5070;1
RIO DE JANEIRO;5070;5
RIO GRANDE DO SUL;5070;18
SANTA CATARINA;5070;15
SAO PAULO;5070;17
BAHIA;5088;6
CEARA;5088;11
GOIAS;5088;3
MINAS GERAIS;5088;7
PARA;5088;1
PARANA;5088;10
PERNAMBUCO;5088;3
RIO DE JANEIRO;5088;6
RIO GRANDE DO SUL;5088;9
RONDONIA;5088;1
SANTA CATARINA;5088;4
SAO PAULO;5088;15
TOCANTINS;5088;1
ACRE;5096;2
ALAGOAS;5096;1
BAHIA;5096;28
CEARA;5096;35
DISTRITO FEDERAL;5096;7
ESPIRITO SANTO;5096;17
GOIAS;5096;4
MARANHAO;5096;3
MATO GROSSO;5096;6
MATO GROSSO DO SUL;5096;5
MINAS GERAIS;5096;15
PARA;5096;8
PARAIBA;5096;3
PARANA;5096;28
PERNAMBUCO;5096;12
PIAUI;5096;2
RIO DE JANEIRO;5096;15
RIO GRANDE DO SUL;5096;67
RONDONIA;5096;11
SANTA CATARINA;5096;26
SAO PAULO;5096;138
SERGIPE;5096;2
TOCANTINS;5096;1
AMAZONAS;5100;2
BAHIA;5100;2
CEARA;5100;6
DISTRITO FEDERAL;5100;1
MATO GROSSO DO SUL;5100;2
MINAS GERAIS;5100;2
PARAIBA;5100;2
PERNAMBUCO;5100;2
RIO DE JANEIRO;5100;2
RIO GRANDE DO SUL;5100;3
SAO PAULO;5100;3
ACRE;5118;73
ALAGOAS;5118;70
AMAZONAS;5118;243
AMAPA;5118;60
BAHIA;5118;533
CEARA;5118;619
DISTRITO FEDERAL;5118;82
ESPIRITO SANTO;5118;592
GOIAS;5118;107
MARANHAO;5118;45
MATO GROSSO;5118;147
MATO GROSSO DO SUL;5118;644
MINAS GERAIS;5118;1205
PARA;5118;508
PARAIBA;5118;137
PARANA;5118;1672
PERNAMBUCO;5118;556
PIAUI;5118;63
RIO DE JANEIRO;5118;590
RIO GRANDE DO NORTE;5118;84
RIO GRANDE DO SUL;5118;887
RONDONIA;5118;471
RORAIMA;5118;25
SANTA CATARINA;5118;1015
SAO PAULO;5118;2731
SERGIPE;5118;46
TOCANTINS;5118;35
ALAGOAS;5126;1
AMAZONAS;5126;5
BAHIA;5126;3
CEARA;5126;7
DISTRITO FEDERAL;5126;1
ESPIRITO SANTO;5126;26
GOIAS;5126;3
MATO GROSSO;5126;1
MATO GROSSO DO SUL;5126;9
MINAS GERAIS;5126;31
PARA;5126;3
PARAIBA;5126;1
PARANA;5126;124
PERNAMBUCO;5126;9
RIO DE JANEIRO;5126;14
RIO GRANDE DO NORTE;5126;1
RIO GRANDE DO SUL;5126;106
RONDONIA;5126;7
RORAIMA;5126;1
SANTA CATARINA;5126;117
SAO PAULO;5126;100
ALAGOAS;5134;2
AMAZONAS;5134;3
AMAPA;5134;2
BAHIA;5134;20
CEARA;5134;43
DISTRITO FEDERAL;5134;1
ESPIRITO SANTO;5134;20
GOIAS;5134;8
MARANHAO;5134;1
MATO GROSSO;5134;4
MATO GROSSO DO SUL;5134;23
MINAS GERAIS;5134;76
PARA;5134;8
PARAIBA;5134;5
PARANA;5134;39
PERNAMBUCO;5134;5
PIAUI;5134;5
RIO DE JANEIRO;5134;35
RIO GRANDE DO NORTE;5134;4
RIO GRANDE DO SUL;5134;73
RONDONIA;5134;16
SANTA CATARINA;5134;30
SAO PAULO;5134;146
SERGIPE;5134;1
TOCANTINS;5134;1
ACRE;5142;12
ALAGOAS;5142;5
AMAZONAS;5142;10
AMAPA;5142;11
BAHIA;5142;163
CEARA;5142;207
DISTRITO FEDERAL;5142;30
ESPIRITO SANTO;5142;148
GOIAS;5142;29
MARANHAO;5142;17
MATO GROSSO;5142;17
MATO GROSSO DO SUL;5142;99
MINAS GERAIS;5142;196
PARA;5142;36
PARAIBA;5142;13
PARANA;5142;214
PERNAMBUCO;5142;48
PIAUI;5142;17
RIO DE JANEIRO;5142;84
RIO GRANDE DO NORTE;5142;11
RIO GRANDE DO SUL;5142;179
RONDONIA;5142;123
RORAIMA;5142;3
SANTA CATARINA;5142;229
SAO PAULO;5142;1231
SERGIPE;5142;20
TOCANTINS;5142;1
AMAPA;5150;1
BAHIA;5150;20
CEARA;5150;89
DISTRITO FEDERAL;5150;3
ESPIRITO SANTO;5150;1
GOIAS;5150;3
MARANHAO;5150;1
MATO GROSSO;5150;5
MATO GROSSO DO SUL;5150;2
MINAS GERAIS;5150;20
PARA;5150;4
PARAIBA;5150;5
PARANA;5150;11
PERNAMBUCO;5150;6
PIAUI;5150;2
RIO DE JANEIRO;5150;6
RIO GRANDE DO NORTE;5150;12
RIO GRANDE DO SUL;5150;21
SANTA CATARINA;5150;14
SAO PAULO;5150;24
SERGIPE;5150;2
ACRE;5169;92
ALAGOAS;5169;24
AMAZONAS;5169;42
AMAPA;5169;36
BAHIA;5169;62
CEARA;5169;38
DISTRITO FEDERAL;5169;91
ESPIRITO SANTO;5169;62
GOIAS;5169;388
MARANHAO;5169;30
MATO GROSSO;5169;659
MATO GROSSO DO SUL;5169;150
MINAS GERAIS;5169;1703
PARA;5169;262
PARAIBA;5169;51
PARANA;5169;479
PERNAMBUCO;5169;124
PIAUI;5169;22
RIO DE JANEIRO;5169;101
RIO GRANDE DO NORTE;5169;177
RIO GRANDE DO SUL;5169;222
RONDONIA;5169;394
RORAIMA;5169;6
SANTA CATARINA;5169;173
SAO PAULO;5169;1095
SERGIPE;5169;30
TOCANTINS;5169;22
ACRE;5177;6
ALAGOAS;5177;3
BAHIA;5177;3
DISTRITO FEDERAL;5177;3
ESPIRITO SANTO;5177;1
GOIAS;5177;1
MATO GROSSO;5177;28
MATO GROSSO DO SUL;5177;2
MINAS GERAIS;5177;68
PARA;5177;2
PARAIBA;5177;1
PARANA;5177;29
PERNAMBUCO;5177;1
PIAUI;5177;2
RIO GRANDE DO SUL;5177;16
RONDONIA;5177;3
SANTA CATARINA;5177;7
SAO PAULO;5177;35
SERGIPE;5177;1
ACRE;5185;181
ALAGOAS;5185;596
AMAZONAS;5185;3681
AMAPA;5185;241
BAHIA;5185;4196
CEARA;5185;2476
DISTRITO FEDERAL;5185;2776
ESPIRITO SANTO;5185;2035
GOIAS;5185;5612
MARANHAO;5185;2701
MATO GROSSO;5185;4279
MATO GROSSO DO SUL;5185;4303
MINAS GERAIS;5185;12770
PARA;5185;2635
PARAIBA;5185;2606
PARANA;5185;13564
PERNAMBUCO;5185;2537
PIAUI;5185;1735
RIO DE JANEIRO;5185;5438
RIO GRANDE DO NORTE;5185;1434
RIO GRANDE DO SUL;5185;5340
RONDONIA;5185;831
RORAIMA;5185;450
SANTA CATARINA;5185;9388
SAO PAULO;5185;73108
SERGIPE;5185;257
TOCANTINS;5185;786
ACRE;5193;12
ALAGOAS;5193;19
AMAZONAS;5193;195
AMAPA;5193;38
BAHIA;5193;412
CEARA;5193;234
DISTRITO FEDERAL;5193;156
ESPIRITO SANTO;5193;185
GOIAS;5193;324
MARANHAO;5193;236
MATO GROSSO;5193;293
MATO GROSSO DO SUL;5193;264
MINAS GERAIS;5193;929
PARA;5193;348
PARAIBA;5193;98
PARANA;5193;1309
PERNAMBUCO;5193;229
PIAUI;5193;64
RIO DE JANEIRO;5193;490
RIO GRANDE DO NORTE;5193;101
RIO GRANDE DO SUL;5193;474
RONDONIA;5193;87
RORAIMA;5193;28
SANTA CATARINA;5193;545
SAO PAULO;5193;3297
SERGIPE;5193;38
TOCANTINS;5193;54
ACRE;5207;7
ALAGOAS;5207;50
AMAZONAS;5207;77
AMAPA;5207;11
BAHIA;5207;300
CEARA;5207;131
DISTRITO FEDERAL;5207;118
ESPIRITO SANTO;5207;251
GOIAS;5207;458
MARANHAO;5207;49
MATO GROSSO;5207;89
MATO GROSSO DO SUL;5207;155
MINAS GERAIS;5207;726
PARA;5207;119
PARAIBA;5207;179
PARANA;5207;345
PERNAMBUCO;5207;174
PIAUI;5207;27
RIO DE JANEIRO;5207;230
RIO GRANDE DO NORTE;5207;164
RIO GRANDE DO SUL;5207;263
RONDONIA;5207;68
RORAIMA;5207;24
SANTA CATARINA;5207;426
SAO PAULO;5207;3122
SERGIPE;5207;48
TOCANTINS;5207;17
ACRE;5215;3
ALAGOAS;5215;10
AMAZONAS;5215;84
AMAPA;5215;6
BAHIA;5215;134
CEARA;5215;36
DISTRITO FEDERAL;5215;15
ESPIRITO SANTO;5215;33
GOIAS;5215;66
MARANHAO;5215;27
MATO GROSSO;5215;26
MATO GROSSO DO SUL;5215;11
MINAS GERAIS;5215;317
PARA;5215;140
PARAIBA;5215;29
PARANA;5215;111
PERNAMBUCO;5215;53
PIAUI;5215;3
RIO DE JANEIRO;5215;277
RIO GRANDE DO NORTE;5215;28
RIO GRANDE DO SUL;5215;52
RONDONIA;5215;50
RORAIMA;5215;4
SANTA CATARINA;5215;70
SAO PAULO;5215;1265
SERGIPE;5215;9
TOCANTINS;5215;1
ALAGOAS;5223;1
AMAZONAS;5223;1
BAHIA;5223;3
CEARA;5223;1
ESPIRITO SANTO;5223;1
MARANHAO;5223;1
MATO GROSSO;5223;1
MATO GROSSO DO SUL;5223;1
MINAS GERAIS;5223;3
PARANA;5223;6
PERNAMBUCO;5223;2
PIAUI;5223;3
RIO DE JANEIRO;5223;2
RIO GRANDE DO NORTE;5223;3
RIO GRANDE DO SUL;5223;10
SANTA CATARINA;5223;2
SAO PAULO;5223;18
ACRE;5231;1
ALAGOAS;5231;1
AMAZONAS;5231;5
BAHIA;5231;19
CEARA;5231;6
DISTRITO FEDERAL;5231;11
ESPIRITO SANTO;5231;9
GOIAS;5231;11
MARANHAO;5231;1
MATO GROSSO;5231;12
MATO GROSSO DO SUL;5231;11
MINAS GERAIS;5231;39
PARA;5231;11
PARAIBA;5231;4
PARANA;5231;80
PERNAMBUCO;5231;9
PIAUI;5231;6
RIO DE JANEIRO;5231;19
RIO GRANDE DO NORTE;5231;4
RIO GRANDE DO SUL;5231;32
RONDONIA;5231;2
SANTA CATARINA;5231;60
SAO PAULO;5231;352
SERGIPE;5231;3
TOCANTINS;5231;3
ACRE;5240;1
ALAGOAS;5240;1
BAHIA;5240;3
ESPIRITO SANTO;5240;1
GOIAS;5240;4
MATO GROSSO;5240;6
MATO GROSSO DO SUL;5240;1
MINAS GERAIS;5240;4
PARA;5240;9
PARANA;5240;6
PERNAMBUCO;5240;3
RIO DE JANEIRO;5240;3
RIO GRANDE DO SUL;5240;2
SANTA CATARINA;5240;6
SAO PAULO;5240;37
TOCANTINS;5240;1
BAHIA;5258;30
CEARA;5258;1
DISTRITO FEDERAL;5258;5
ESPIRITO SANTO;5258;12
GOIAS;5258;13
MARANHAO;5258;6
MATO GROSSO;5258;8
MATO GROSSO DO SUL;5258;2
MINAS GERAIS;5258;61
PARA;5258;4
PARAIBA;5258;2
PARANA;5258;3
PERNAMBUCO;5258;5
RIO DE JANEIRO;5258;25
RIO GRANDE DO SUL;5258;5
RONDONIA;5258;5
SANTA CATARINA;5258;8
SAO PAULO;5258;129
TOCANTINS;5258;2
ACRE;5266;1
AMAZONAS;5266;56
BAHIA;5266;48
ESPIRITO SANTO;5266;6
GOIAS;5266;3
MARANHAO;5266;1
MATO GROSSO;5266;3
MATO GROSSO DO SUL;5266;1
MINAS GERAIS;5266;28
PARA;5266;2
PARAIBA;5266;2
PARANA;5266;23
PERNAMBUCO;5266;3
RIO DE JANEIRO;5266;6
RIO GRANDE DO SUL;5266;5
RONDONIA;5266;2
SANTA CATARINA;5266;6
SAO PAULO;5266;141
SERGIPE;5266;2
TOCANTINS;5266;4
ACRE;5274;18
ALAGOAS;5274;28
AMAZONAS;5274;27
AMAPA;5274;12
BAHIA;5274;370
CEARA;5274;86
DISTRITO FEDERAL;5274;29
ESPIRITO SANTO;5274;40
GOIAS;5274;164
MARANHAO;5274;54
MATO GROSSO;5274;165
MATO GROSSO DO SUL;5274;69
MINAS GERAIS;5274;613
PARA;5274;89
PARAIBA;5274;55
PARANA;5274;356
PERNAMBUCO;5274;223
PIAUI;5274;9
RIO DE JANEIRO;5274;110
RIO GRANDE DO NORTE;5274;56
RIO GRANDE DO SUL;5274;215
RONDONIA;5274;145
RORAIMA;5274;3
SANTA CATARINA;5274;253
SAO PAULO;5274;2152
SERGIPE;5274;35
TOCANTINS;5274;31
ACRE;5282;4
AMAZONAS;5282;1
BAHIA;5282;5
CEARA;5282;1
DISTRITO FEDERAL;5282;1
ESPIRITO SANTO;5282;4
GOIAS;5282;6
MARANHAO;5282;2
MATO GROSSO;5282;2
MATO GROSSO DO SUL;5282;5
MINAS GERAIS;5282;33
PARA;5282;1
PARAIBA;5282;2
PARANA;5282;10
PERNAMBUCO;5282;5
RIO DE JANEIRO;5282;5
RIO GRANDE DO NORTE;5282;3
RIO GRANDE DO SUL;5282;5
RONDONIA;5282;8
RORAIMA;5282;2
SANTA CATARINA;5282;11
SAO PAULO;5282;26
SERGIPE;5282;1
TOCANTINS;5282;2
CEARA;5290;2
ESPIRITO SANTO;5290;1
GOIAS;5290;5
MATO GROSSO;5290;1
MATO GROSSO DO SUL;5290;3
MINAS GERAIS;5290;4
PARANA;5290;2
PERNAMBUCO;5290;1
RIO DE JANEIRO;5290;1
RIO GRANDE DO SUL;5290;5
SANTA CATARINA;5290;11
SAO PAULO;5290;6
SERGIPE;5290;1
ACRE;5304;2
ALAGOAS;5304;1
CEARA;5304;1
MATO GROSSO DO SUL;5304;1
MINAS GERAIS;5304;8
PARAIBA;5304;1
PARANA;5304;3
PERNAMBUCO;5304;1
RIO DE JANEIRO;5304;2
RIO GRANDE DO NORTE;5304;1
RIO GRANDE DO SUL;5304;4
RONDONIA;5304;3
SANTA CATARINA;5304;5
SAO PAULO;5304;15
TOCANTINS;5304;1
BAHIA;5312;1
DISTRITO FEDERAL;5312;1
MATO GROSSO;5312;2
SANTA CATARINA;5312;1
SAO PAULO;5312;1
BAHIA;5320;1
DISTRITO FEDERAL;5320;2
ESPIRITO SANTO;5320;4
GOIAS;5320;5
MATO GROSSO;5320;2
MATO GROSSO DO SUL;5320;8
MINAS GERAIS;5320;11
PARA;5320;1
PARANA;5320;12
PERNAMBUCO;5320;2
RIO DE JANEIRO;5320;3
RIO GRANDE DO NORTE;5320;2
RIO GRANDE DO SUL;5320;2
RONDONIA;5320;1
RORAIMA;5320;1
SANTA CATARINA;5320;16
SAO PAULO;5320;6
MARANHAO;5339;1
MATO GROSSO DO SUL;5339;1
PARAIBA;5339;2
SANTA CATARINA;5339;1
SAO PAULO;5339;1
AMAZONAS;5347;1
BAHIA;5347;3
CEARA;5347;1
DISTRITO FEDERAL;5347;2
ESPIRITO SANTO;5347;4
GOIAS;5347;3
MATO GROSSO;5347;1
MATO GROSSO DO SUL;5347;3
MINAS GERAIS;5347;22
PARANA;5347;16
PERNAMBUCO;5347;4
RIO GRANDE DO NORTE;5347;2
RIO GRANDE DO SUL;5347;20
SANTA CATARINA;5347;11
SAO PAULO;5347;27
TOCANTINS;5347;1
BAHIA;5355;1
CEARA;5355;1
DISTRITO FEDERAL;5355;1
MARANHAO;5355;1
MATO GROSSO DO SUL;5355;1
MINAS GERAIS;5355;2
PARA;5355;3
PARANA;5355;4
PIAUI;5355;1
RIO GRANDE DO SUL;5355;1
SANTA CATARINA;5355;2
SAO PAULO;5355;5
ALAGOAS;5363;1
BAHIA;5363;1
ESPIRITO SANTO;5363;1
MARANHAO;5363;2
PARA;5363;4
PERNAMBUCO;5363;1
PIAUI;5363;1
RIO DE JANEIRO;5363;1
RIO GRANDE DO SUL;5363;1
SAO PAULO;5363;3
ACRE;5371;1
AMAZONAS;5371;16
BAHIA;5371;11
DISTRITO FEDERAL;5371;5
ESPIRITO SANTO;5371;5
GOIAS;5371;1
MARANHAO;5371;4
MATO GROSSO;5371;3
MATO GROSSO DO SUL;5371;6
MINAS GERAIS;5371;36
PARA;5371;4
PARAIBA;5371;2
PARANA;5371;15
PERNAMBUCO;5371;4
PIAUI;5371;6
RIO DE JANEIRO;5371;5
RIO GRANDE DO NORTE;5371;2
RIO GRANDE DO SUL;5371;11
RONDONIA;5371;2
SANTA CATARINA;5371;21
SAO PAULO;5371;197
SERGIPE;5371;1
TOCANTINS;5371;7
ACRE;5380;10
ALAGOAS;5380;108
AMAZONAS;5380;194
AMAPA;5380;14
BAHIA;5380;386
CEARA;5380;1220
DISTRITO FEDERAL;5380;135
ESPIRITO SANTO;5380;96
GOIAS;5380;1589
MARANHAO;5380;93
MATO GROSSO;5380;220
MATO GROSSO DO SUL;5380;93
MINAS GERAIS;5380;648
PARA;5380;339
PARAIBA;5380;136
PARANA;5380;372
PERNAMBUCO;5380;296
PIAUI;5380;62
RIO DE JANEIRO;5380;1072
RIO GRANDE DO NORTE;5380;114
RIO GRANDE DO SUL;5380;145
RONDONIA;5380;110
RORAIMA;5380;9
SANTA CATARINA;5380;202
SAO PAULO;5380;2654
SERGIPE;5380;35
TOCANTINS;5380;35
ACRE;5398;3
ALAGOAS;5398;4
AMAZONAS;5398;2
BAHIA;5398;52
CEARA;5398;21
DISTRITO FEDERAL;5398;8
ESPIRITO SANTO;5398;10
GOIAS;5398;12
MARANHAO;5398;8
MATO GROSSO;5398;3
MATO GROSSO DO SUL;5398;6
MINAS GERAIS;5398;62
PARA;5398;11
PARAIBA;5398;22
PARANA;5398;18
PERNAMBUCO;5398;8
PIAUI;5398;5
RIO DE JANEIRO;5398;23
RIO GRANDE DO NORTE;5398;11
RIO GRANDE DO SUL;5398;32
RONDONIA;5398;13
SANTA CATARINA;5398;24
SAO PAULO;5398;147
SERGIPE;5398;7
TOCANTINS;5398;3
ACRE;5401;4
ALAGOAS;5401;39
AMAZONAS;5401;62
BAHIA;5401;503
CEARA;5401;267
DISTRITO FEDERAL;5401;9
ESPIRITO SANTO;5401;32
GOIAS;5401;31
MARANHAO;5401;28
MATO GROSSO;5401;12
MATO GROSSO DO SUL;5401;20
MINAS GERAIS;5401;141
PARA;5401;88
PARAIBA;5401;68
PARANA;5401;47
PERNAMBUCO;5401;54
PIAUI;5401;5
RIO DE JANEIRO;5401;43
RIO GRANDE DO NORTE;5401;74
RIO GRANDE DO SUL;5401;49
RONDONIA;5401;49
RORAIMA;5401;3
SANTA CATARINA;5401;27
SAO PAULO;5401;321
SERGIPE;5401;6
TOCANTINS;5401;11
ACRE;5410;5
ALAGOAS;5410;6
AMAZONAS;5410;89
AMAPA;5410;19
BAHIA;5410;423
CEARA;5410;755
DISTRITO FEDERAL;5410;217
ESPIRITO SANTO;5410;91
GOIAS;5410;116
MARANHAO;5410;71
MATO GROSSO;5410;48
MATO GROSSO DO SUL;5410;45
MINAS GERAIS;5410;292
PARA;5410;157
PARAIBA;5410;60
PARANA;5410;150
PERNAMBUCO;5410;132
PIAUI;5410;36
RIO DE JANEIRO;5410;484
RIO GRANDE DO NORTE;5410;124
RIO GRANDE DO SUL;5410;40
RONDONIA;5410;70
RORAIMA;5410;8
SANTA CATARINA;5410;95
SAO PAULO;5410;573
SERGIPE;5410;12
TOCANTINS;5410;100
ACRE;5428;5
ALAGOAS;5428;2
AMAZONAS;5428;17
AMAPA;5428;8
BAHIA;5428;104
CEARA;5428;23
DISTRITO FEDERAL;5428;55
ESPIRITO SANTO;5428;208
GOIAS;5428;73
MARANHAO;5428;26
MATO GROSSO;5428;34
MATO GROSSO DO SUL;5428;42
MINAS GERAIS;5428;252
PARA;5428;64
PARAIBA;5428;33
PARANA;5428;175
PERNAMBUCO;5428;252
PIAUI;5428;24
RIO DE JANEIRO;5428;383
RIO GRANDE DO NORTE;5428;59
RIO GRANDE DO SUL;5428;85
RONDONIA;5428;19
RORAIMA;5428;1
SANTA CATARINA;5428;188
SAO PAULO;5428;518
SERGIPE;5428;9
TOCANTINS;5428;10
BAHIA;5436;3
CEARA;5436;1
ESPIRITO SANTO;5436;3
GOIAS;5436;1
MATO GROSSO DO SUL;5436;11
MINAS GERAIS;5436;14
PARANA;5436;2
RIO DE JANEIRO;5436;17
SANTA CATARINA;5436;5
SAO PAULO;5436;25
ACRE;5444;3
ALAGOAS;5444;31
AMAPA;5444;5
BAHIA;5444;106
CEARA;5444;62
DISTRITO FEDERAL;5444;44
ESPIRITO SANTO;5444;81
GOIAS;5444;90
MARANHAO;5444;30
MATO GROSSO;5444;30
MATO GROSSO DO SUL;5444;55
MINAS GERAIS;5444;214
PARA;5444;39
PARAIBA;5444;10
PARANA;5444;110
PERNAMBUCO;5444;189
PIAUI;5444;63
RIO DE JANEIRO;5444;131
RIO GRANDE DO NORTE;5444;21
RIO GRANDE DO SUL;5444;52
RONDONIA;5444;10
RORAIMA;5444;1
SANTA CATARINA;5444;287
SAO PAULO;5444;752
SERGIPE;5444;5
TOCANTINS;5444;8
ACRE;5452;233
ALAGOAS;5452;232
AMAZONAS;5452;1180
AMAPA;5452;95
BAHIA;5452;3069
CEARA;5452;7134
DISTRITO FEDERAL;5452;812
ESPIRITO SANTO;5452;1887
GOIAS;5452;6903
MARANHAO;5452;1051
MATO GROSSO;5452;1403
MATO GROSSO DO SUL;5452;858
MINAS GERAIS;5452;5538
PARA;5452;1821
PARAIBA;5452;1948
PARANA;5452;4059
PERNAMBUCO;5452;2041
PIAUI;5452;659
RIO DE JANEIRO;5452;13328
RIO GRANDE DO NORTE;5452;1395
RIO GRANDE DO SUL;5452;932
RONDONIA;5452;196
RORAIMA;5452;50
SANTA CATARINA;5452;2211
SAO PAULO;5452;16669
SERGIPE;5452;131
TOCANTINS;5452;246
ACRE;5460;20
ALAGOAS;5460;30
AMAZONAS;5460;58
AMAPA;5460;5
BAHIA;5460;206
CEARA;5460;103
DISTRITO FEDERAL;5460;37
ESPIRITO SANTO;5460;134
GOIAS;5460;201
MARANHAO;5460;32
MATO GROSSO;5460;66
MATO GROSSO DO SUL;5460;106
MINAS GERAIS;5460;785
PARA;5460;81
PARAIBA;5460;91
PARANA;5460;772
PERNAMBUCO;5460;189
PIAUI;5460;13
RIO DE JANEIRO;5460;767
RIO GRANDE DO NORTE;5460;61
RIO GRANDE DO SUL;5460;354
RONDONIA;5460;18
RORAIMA;5460;8
SANTA CATARINA;5460;402
SAO PAULO;5460;2907
SERGIPE;5460;29
TOCANTINS;5460;27
ACRE;5479;8
ALAGOAS;5479;71
AMAZONAS;5479;106
AMAPA;5479;2
BAHIA;5479;262
CEARA;5479;428
DISTRITO FEDERAL;5479;47
ESPIRITO SANTO;5479;73
GOIAS;5479;35
MARANHAO;5479;61
MATO GROSSO;5479;15
MATO GROSSO DO SUL;5479;10
