UF;COD_INFRACAO;QUANTIDADE
ACRE;5002;1
ALAGOAS;5002;19
AMAZONAS;5002;3
BAHIA;5002;16
CEARA;5002;3
DISTRITO FEDERAL;5002;6
ESPIRITO SANTO;5002;10
GOIAS;5002;38
MARANHAO;5002;7
MATO GROSSO;5002;1563
MATO GROSSO DO SUL;5002;18
MINAS GERAIS;5002;236
PARA;5002;18
PARAIBA;5002;2
PARANA;5002;199
PERNAMBUCO;5002;5
PIAUI;5002;2
RIO DE JANEIRO;5002;21
RIO GRANDE DO NORTE;5002;5
RIO GRANDE DO SUL;5002;114
RONDONIA;5002;19
SANTA CATARINA;5002;497
SAO PAULO;5002;1897
SERGIPE;5002;1
TOCANTINS;5002;3
ACRE;5010;49
ALAGOAS;5010;453
AMAZONAS;5010;1
AMAPA;5010;149
BAHIA;5010;407
CEARA;5010;92
DISTRITO FEDERAL;5010;318
ESPIRITO SANTO;5010;60
GOIAS;5010;2649
MARANHAO;5010;17
MATO GROSSO;5010;311
MATO GROSSO DO SUL;5010;39
MINAS GERAIS;5010;351
PARA;5010;167
PARAIBA;5010;15
PARANA;5010;168
PERNAMBUCO;5010;185
PIAUI;5010;9
RIO DE JANEIRO;5010;54
RIO GRANDE DO NORTE;5010;164
RIO GRANDE DO SUL;5010;1226
RONDONIA;5010;573
RORAIMA;5010;6
SANTA CATARINA;5010;122
SAO PAULO;5010;15867
SERGIPE;5010;18
TOCANTINS;5010;27
ALAGOAS;5029;6
AMAPA;5029;4
CEARA;5029;1
DISTRITO FEDERAL;5029;45
ESPIRITO SANTO;5029;14
GOIAS;5029;20
MINAS GERAIS;5029;18
PARA;5029;1
PARANA;5029;22
PERNAMBUCO;5029;3
RIO DE JANEIRO;5029;17
RIO GRANDE DO SUL;5029;302
RONDONIA;5029;3
SANTA CATARINA;5029;13
SAO PAULO;5029;994
SERGIPE;5029;2
ACRE;5037;1
ALAGOAS;5037;11
AMAPA;5037;8
BAHIA;5037;12
CEARA;5037;3
DISTRITO FEDERAL;5037;32
ESPIRITO SANTO;5037;1
GOIAS;5037;100
MATO GROSSO;5037;5
MINAS GERAIS;5037;23
PARA;5037;3
PARAIBA;5037;1
PARANA;5037;8
PERNAMBUCO;5037;7
RIO DE JANEIRO;5037;1
RIO GRANDE DO NORTE;5037;1
RIO GRANDE DO SUL;5037;132
RONDONIA;5037;15
SANTA CATARINA;5037;6
SAO PAULO;5037;949
TOCANTINS;5037;1
ACRE;5045;14
ALAGOAS;5045;37
AMAZONAS;5045;1
AMAPA;5045;51
BAHIA;5045;29
CEARA;5045;23
DISTRITO FEDERAL;5045;268
ESPIRITO SANTO;5045;21
GOIAS;5045;409
MARANHAO;5045;3
MATO GROSSO;5045;24
MATO GROSSO DO SUL;5045;8
MINAS GERAIS;5045;70
PARA;5045;22
PARAIBA;5045;3
PARANA;5045;42
PERNAMBUCO;5045;19
PIAUI;5045;1
RIO DE JANEIRO;5045;8
RIO GRANDE DO NORTE;5045;10
RIO GRANDE DO SUL;5045;214
RONDONIA;5045;120
SANTA CATARINA;5045;78
SAO PAULO;5045;5240
TOCANTINS;5045;3
ACRE;5053;1
ALAGOAS;5053;6
BAHIA;5053;9
CEARA;5053;2
DISTRITO FEDERAL;5053;6
ESPIRITO SANTO;5053;1
GOIAS;5053;77
MATO GROSSO;5053;5
MATO GROSSO DO SUL;5053;1
MINAS GERAIS;5053;6
PARA;5053;3
PARAIBA;5053;1
PARANA;5053;4
PERNAMBUCO;5053;19
RIO GRANDE DO NORTE;5053;4
RIO GRANDE DO SUL;5053;79
RONDONIA;5053;2
SANTA CATARINA;5053;6
SAO PAULO;5053;91
ACRE;5061;2
ALAGOAS;5061;15
AMAPA;5061;1
BAHIA;5061;15
CEARA;5061;7
DISTRITO FEDERAL;5061;7
ESPIRITO SANTO;5061;4
GOIAS;5061;29
MATO GROSSO;5061;1
MATO GROSSO DO SUL;5061;1
MINAS GERAIS;5061;10
PARA;5061;3
PARANA;5061;4
PERNAMBUCO;5061;4
PIAUI;5061;1
RIO DE JANEIRO;5061;1
RIO GRANDE DO NORTE;5061;2
RIO GRANDE DO SUL;5061;42
RONDONIA;5061;29
RORAIMA;5061;1
SANTA CATARINA;5061;11
SAO PAULO;5061;589
GOIAS;5070;1
RIO GRANDE DO SUL;5070;10
SAO PAULO;5070;17
MINAS GERAIS;5088;2
PARA;5088;1
RIO GRANDE DO SUL;5088;9
SAO PAULO;5088;23
ALAGOAS;5096;1
BAHIA;5096;1
CEARA;5096;3
GOIAS;5096;1
MINAS GERAIS;5096;2
PARA;5096;1
PARANA;5096;1
RIO GRANDE DO SUL;5096;16
