UF;Cod_Infração;Quantidade
ACRE;5002;132
ACRE;5010;544
ACRE;5029;8
ACRE;5037;29
ACRE;5045;310
ACRE;5053;7
ACRE;5061;11
ACRE;5096;6
ACRE;5118;281
ACRE;5126;5
ACRE;5134;6
ACRE;5142;69
ACRE;5150;1
ACRE;5169;213
ACRE;5177;14
ACRE;5185;442
ACRE;5193;31
ACRE;5207;45
ACRE;5215;15
ACRE;5231;5
ACRE;5266;1
ACRE;5274;35
ACRE;5282;6
ACRE;5290;1
ACRE;5304;2
ACRE;5320;1
ACRE;5347;1
ACRE;5371;1
ACRE;5380;29
ACRE;5398;3
ACRE;5401;17
ACRE;5410;4
ACRE;5428;16
ACRE;5444;3
ACRE;5452;287
ACRE;5460;34
ACRE;5479;9
ACRE;5487;75
ACRE;5495;5
ACRE;5509;33
ACRE;5525;36
ACRE;5541;422
ACRE;5550;540
ACRE;5568;268
ACRE;5592;5
ACRE;5614;5
ACRE;5622;61
ACRE;5630;1
ACRE;5657;5
ACRE;5665;58
ACRE;5673;24
ACRE;5681;3
ACRE;5703;26
ACRE;5711;5
ACRE;5720;49
ACRE;5738;132
ACRE;5746;35
ACRE;5770;4
ACRE;5789;1
ACRE;5797;6
ACRE;5800;1
ACRE;5819;270
ACRE;5835;71
ACRE;5843;14
ACRE;5851;3
ACRE;5860;1
ACRE;5878;1
ACRE;5894;1
ACRE;5908;1
ACRE;5932;1
ACRE;5959;16
ACRE;5967;43
ACRE;5991;17
ACRE;6017;19
ACRE;6025;1
ACRE;6041;200
ACRE;6050;863
ACRE;6068;35
ACRE;6076;10
ACRE;6122;18
ACRE;6130;1
ACRE;6173;3
ACRE;6270;4
ACRE;6394;3
ACRE;6408;27
ACRE;6440;4
ACRE;6491;1
ACRE;6530;18
ACRE;6556;7
ACRE;6564;11
ACRE;6572;1
ACRE;6580;57
ACRE;6599;933
ACRE;6602;38
ACRE;6610;20
ACRE;6637;185
ACRE;6645;121
ACRE;6653;89
ACRE;6661;63
ACRE;6670;162
ACRE;6688;7
ACRE;6696;5
ACRE;6700;48
ACRE;6726;209
ACRE;6750;24
ACRE;6769;73
ACRE;6785;3
ACRE;6807;13
ACRE;6823;19
ACRE;6831;158
ACRE;6840;17
ACRE;6858;31
ACRE;6866;35
ACRE;6882;3
ACRE;6890;1
ACRE;6904;12
ACRE;6912;8
ACRE;6920;4
ACRE;6939;1
ACRE;6947;33
ACRE;6963;23
ACRE;6971;4
ACRE;7030;65
ACRE;7048;39
ACRE;7056;9
ACRE;7072;16
ACRE;7080;1
ACRE;7099;3
ACRE;7102;1
ACRE;7218;1
ACRE;7234;13
ACRE;7269;3
ACRE;7285;2
ACRE;7323;3
ACRE;7331;1
ACRE;7340;285
ACRE;7358;3
ACRE;7366;46
ACRE;7374;3
ACRE;7455;1133
ACRE;7463;264
ACRE;7471;43
ACRE;7560;37
ACRE;7579;19
ACRE;7587;29
ACRE;7625;85
ACRE;7633;506
ACRE;7641;2
ACRE;7684;53
ACRE;7714;3
ACRE;7722;12
ACRE;7730;3
ACRE;7749;5
ACRE;7781;3
ALAGOAS;5002;970
ALAGOAS;5010;749
ALAGOAS;5029;3
ALAGOAS;5037;45
ALAGOAS;5045;101
ALAGOAS;5053;33
ALAGOAS;5061;24
