UF;Cod_Infracao;Quantidade
ACRE;5002;17
ALAGOAS;5002;38
AMAZONAS;5002;117
AMAPA;5002;13
BAHIA;5002;397
CEARA;5002;127
DISTRITO FEDERAL;5002;200
ESPIRITO SANTO;5002;515
GOIAS;5002;759
MARANHAO;5002;84
MATO GROSSO;5002;906
MATO GROSSO DO SUL;5002;2670
MINAS GERAIS;5002;26018
PARA;5002;143
PARAIBA;5002;41
PARANA;5002;38107
PERNAMBUCO;5002;588
PIAUI;5002;24
RIO DE JANEIRO;5002;1089
RIO GRANDE DO NORTE;5002;51
RIO GRANDE DO SUL;5002;6072
RONDONIA;5002;92
RORAIMA;5002;7
SANTA CATARINA;5002;11704
SAO PAULO;5002;65035
SERGIPE;5002;81
TOCANTINS;5002;63
ACRE;5010;910
ALAGOAS;5010;506
AMAZONAS;5010;656
AMAPA;5010;343
BAHIA;5010;1896
CEARA;5010;780
DISTRITO FEDERAL;5010;1195
ESPIRITO SANTO;5010;657
GOIAS;5010;5693
MARANHAO;5010;1827
MATO GROSSO;5010;2455
MATO GROSSO DO SUL;5010;1207
MINAS GERAIS;5010;12997
PARA;5010;1255
PARAIBA;5010;639
PARANA;5010;2885
PERNAMBUCO;5010;1524
PIAUI;5010;320
RIO DE JANEIRO;5010;2721
RIO GRANDE DO NORTE;5010;552
RIO GRANDE DO SUL;5010;2124
RONDONIA;5010;2200
RORAIMA;5010;1106
SANTA CATARINA;5010;2877
SAO PAULO;5010;12225
SERGIPE;5010;321
TOCANTINS;5010;204
ACRE;5029;5
ALAGOAS;5029;6
AMAZONAS;5029;11
AMAPA;5029;2
BAHIA;5029;12
CEARA;5029;6
DISTRITO FEDERAL;5029;13
ESPIRITO SANTO;5029;60
GOIAS;5029;41
MARANHAO;5029;4
MATO GROSSO;5029;10
MATO GROSSO DO SUL;5029;50
MINAS GERAIS;5029;379
PARA;5029;8
PARAIBA;5029;1
PARANA;5029;512
PERNAMBUCO;5029;40
PIAUI;5029;2
RIO DE JANEIRO;5029;160
RIO GRANDE DO NORTE;5029;2
RIO GRANDE DO SUL;5029;394
RONDONIA;5029;25
RORAIMA;5029;4
SANTA CATARINA;5029;646
SAO PAULO;5029;544
SERGIPE;5029;2
ACRE;5037;26
ALAGOAS;5037;19
AMAZONAS;5037;46
AMAPA;5037;14
BAHIA;5037;61
CEARA;5037;58
DISTRITO FEDERAL;5037;45
ESPIRITO SANTO;5037;44
GOIAS;5037;290
MARANHAO;5037;54
MATO GROSSO;5037;49
MATO GROSSO DO SUL;5037;63
MINAS GERAIS;5037;911
PARA;5037;27
PARAIBA;5037;35
PARANA;5037;168
PERNAMBUCO;5037;71
PIAUI;5037;19
RIO DE JANEIRO;5037;194
RIO GRANDE DO NORTE;5037;18
RIO GRANDE DO SUL;5037;367
RONDONIA;5037;35
RORAIMA;5037;18
SANTA CATARINA;5037;120
SAO PAULO;5037;793
SERGIPE;5037;9
TOCANTINS;5037;13
ACRE;5045;607
ALAGOAS;5045;56
AMAZONAS;5045;165
AMAPA;5045;120
BAHIA;5045;615
CEARA;5045;232
DISTRITO FEDERAL;5045;759
ESPIRITO SANTO;5045;281
GOIAS;5045;1897
MARANHAO;5045;278
MATO GROSSO;5045;447
MATO GROSSO DO SUL;5045;360
MINAS GERAIS;5045;2672
PARA;5045;189
PARAIBA;5045;147
PARANA;5045;713
PERNAMBUCO;5045;592
PIAUI;5045;131
RIO DE JANEIRO;5045;699
RIO GRANDE DO NORTE;5045;122
RIO GRANDE DO SUL;5045;1332
RONDONIA;5045;527
RORAIMA;5045;173
