UF;COD_INFRACAO;QUANTIDADE
ACRE;5002;6
ALAGOAS;5002;97
AMAZONAS;5002;103
BAHIA;5002;189
CEARA;5002;46
DISTRITO FEDERAL;5002;111
ESPIRITO SANTO;5002;205
GOIAS;5002;559
MARANHAO;5002;17
MATO GROSSO;5002;323
MATO GROSSO DO SUL;5002;1128
MINAS GERAIS;5002;8070
PARA;5002;32
PARAIBA;5002;13
PARANA;5002;9304
PERNAMBUCO;5002;150
PIAUI;5002;9
RIO DE JANEIRO;5002;869
RIO GRANDE DO NORTE;5002;23
RIO GRANDE DO SUL;5002;5135
RONDONIA;5002;36
RORAIMA;5002;4
SANTA CATARINA;5002;9691
SAO PAULO;5002;39044
SERGIPE;5002;16
TOCANTINS;5002;24
ACRE;5010;1103
ALAGOAS;5010;1296
AMAZONAS;5010;448
AMAPA;5010;1827
BAHIA;5010;2490
CEARA;5010;2637
DISTRITO FEDERAL;5010;1742
ESPIRITO SANTO;5010;1302
GOIAS;5010;3277
MARANHAO;5010;774
MATO GROSSO;5010;1998
MATO GROSSO DO SUL;5010;983
MINAS GERAIS;5010;10248
PARA;5010;1247
PARAIBA;5010;698
PARANA;5010;3099
PERNAMBUCO;5010;1682
PIAUI;5010;492
RIO DE JANEIRO;5010;808
RIO GRANDE DO NORTE;5010;781
RIO GRANDE DO SUL;5010;2565
RONDONIA;5010;1971
RORAIMA;5010;93
SANTA CATARINA;5010;3524
SAO PAULO;5010;14220
SERGIPE;5010;373
TOCANTINS;5010;321
ACRE;5029;13
ALAGOAS;5029;13
AMAZONAS;5029;8
AMAPA;5029;18
BAHIA;5029;15
CEARA;5029;15
DISTRITO FEDERAL;5029;22
ESPIRITO SANTO;5029;135
GOIAS;5029;22
MARANHAO;5029;2
MATO GROSSO;5029;8
MATO GROSSO DO SUL;5029;26
MINAS GERAIS;5029;282
PARA;5029;5
PARAIBA;5029;12
PARANA;5029;166
PERNAMBUCO;5029;35
PIAUI;5029;1
RIO DE JANEIRO;5029;26
RIO GRANDE DO NORTE;5029;2
RIO GRANDE DO SUL;5029;285
RONDONIA;5029;26
RORAIMA;5029;1
SANTA CATARINA;5029;517
SAO PAULO;5029;1455
SERGIPE;5029;4
TOCANTINS;5029;2
ACRE;5037;52
ALAGOAS;5037;57
AMAZONAS;5037;44
AMAPA;5037;103
BAHIA;5037;118
CEARA;5037;162
DISTRITO FEDERAL;5037;74
ESPIRITO SANTO;5037;73
GOIAS;5037;179
MARANHAO;5037;42
MATO GROSSO;5037;53
MATO GROSSO DO SUL;5037;57
MINAS GERAIS;5037;824
PARA;5037;32
PARAIBA;5037;26
PARANA;5037;210
PERNAMBUCO;5037;73
PIAUI;5037;33
RIO DE JANEIRO;5037;83
RIO GRANDE DO NORTE;5037;25
RIO GRANDE DO SUL;5037;377
RONDONIA;5037;48
RORAIMA;5037;5
SANTA CATARINA;5037;115
SAO PAULO;5037;1113
SERGIPE;5037;25
TOCANTINS;5037;10
ACRE;5045;545
ALAGOAS;5045;72
AMAZONAS;5045;95
AMAPA;5045;387
BAHIA;5045;605
CEARA;5045;856
DISTRITO FEDERAL;5045;603
ESPIRITO SANTO;5045;305
GOIAS;5045;695
MARANHAO;5045;95
MATO GROSSO;5045;176
MATO GROSSO DO SUL;5045;252
MINAS GERAIS;5045;2579
PARA;5045;114
PARAIBA;5045;92
PARANA;5045;970
PERNAMBUCO;5045;462
PIAUI;5045;51
RIO DE JANEIRO;5045;158
RIO GRANDE DO NORTE;5045;173
RIO GRANDE DO SUL;5045;680
RONDONIA;5045;354
RORAIMA;5045;39
SANTA CATARINA;5045;1881
SAO PAULO;5045;5000
SERGIPE;5045;84
TOCANTINS;5045;62
ACRE;5053;22
ALAGOAS;5053;28
AMAZONAS;5053;33
AMAPA;5053;7
BAHIA;5053;100
CEARA;5053;444
DISTRITO FEDERAL;5053;33
ESPIRITO SANTO;5053;20
GOIAS;5053;141
MARANHAO;5053;9
MATO GROSSO;5053;22
MATO GROSSO DO SUL;5053;34
MINAS GERAIS;5053;353
PARA;5053;44
PARAIBA;5053;31
PARANA;5053;64
PERNAMBUCO;5053;171
PIAUI;5053;32
RIO DE JANEIRO;5053;46
RIO GRANDE DO NORTE;5053;31
RIO GRANDE DO SUL;5053;85
RONDONIA;5053;15
RORAIMA;5053;1
SANTA CATARINA;5053;139
SAO PAULO;5053;281
SERGIPE;5053;14
TOCANTINS;5053;6
ACRE;5061;34
ALAGOAS;5061;39
AMAZONAS;5061;21
AMAPA;5061;4
BAHIA;5061;115
CEARA;5061;58
DISTRITO FEDERAL;5061;27
ESPIRITO SANTO;5061;47
GOIAS;5061;49
MARANHAO;5061;19
MATO GROSSO;5061;46
MATO GROSSO DO SUL;5061;25
MINAS GERAIS;5061;126
PARA;5061;26
PARAIBA;5061;15
PARANA;5061;73
PERNAMBUCO;5061;28
PIAUI;5061;5
RIO DE JANEIRO;5061;17
RIO GRANDE DO NORTE;5061;7
RIO GRANDE DO SUL;5061;45
RONDONIA;5061;80
SANTA CATARINA;5061;161
SAO PAULO;5061;414
SERGIPE;5061;13
TOCANTINS;5061;14
ALAGOAS;5070;1
AMAZONAS;5070;4
CEARA;5070;1
DISTRITO FEDERAL;5070;2
ESPIRITO SANTO;5070;1
GOIAS;5070;1
MATO GROSSO;5070;1
MATO GROSSO DO SUL;5070;2
MINAS GERAIS;5070;8
PARAIBA;5070;1
PARANA;5070;10
PERNAMBUCO;5070;1
RIO DE JANEIRO;5070;1
RIO GRANDE DO SUL;5070;6
RONDONIA;5070;1
SANTA CATARINA;5070;13
SAO PAULO;5070;39
TOCANTINS;5070;1
ACRE;5088;1
ALAGOAS;5088;1
AMAPA;5088;1
BAHIA;5088;4
CEARA;5088;14
ESPIRITO SANTO;5088;1
GOIAS;5088;3
MATO GROSSO;5088;4
MATO GROSSO DO SUL;5088;1
MINAS GERAIS;5088;11
PARA;5088;3
PARAIBA;5088;1
PARANA;5088;4
PERNAMBUCO;5088;1
RIO DE JANEIRO;5088;5
RIO GRANDE DO NORTE;5088;3
RIO GRANDE DO SUL;5088;5
RONDONIA;5088;2
RORAIMA;5088;1
SANTA CATARINA;5088;4
SAO PAULO;5088;29
SERGIPE;5088;1
ACRE;5096;3
ALAGOAS;5096;3
AMAZONAS;5096;1
AMAPA;5096;2
BAHIA;5096;20
CEARA;5096;67
DISTRITO FEDERAL;5096;10
ESPIRITO SANTO;5096;8
GOIAS;5096;5
MATO GROSSO;5096;8
MATO GROSSO DO SUL;5096;2
MINAS GERAIS;5096;34
PARA;5096;1
PARAIBA;5096;5
PARANA;5096;50
PERNAMBUCO;5096;8
RIO DE JANEIRO;5096;6
RIO GRANDE DO NORTE;5096;2
RIO GRANDE DO SUL;5096;49
RONDONIA;5096;2
RORAIMA;5096;2
SANTA CATARINA;5096;68
SAO PAULO;5096;95
SERGIPE;5096;5
TOCANTINS;5096;3
AMAZONAS;5100;1
CEARA;5100;16
MINAS GERAIS;5100;2
RIO DE JANEIRO;5100;1
RIO GRANDE DO NORTE;5100;1
RONDONIA;5100;1
SANTA CATARINA;5100;2
SAO PAULO;5100;5
ACRE;5118;467
ALAGOAS;5118;317
AMAZONAS;5118;119
AMAPA;5118;676
BAHIA;5118;572
CEARA;5118;1859
DISTRITO FEDERAL;5118;165
ESPIRITO SANTO;5118;566
GOIAS;5118;149
MARANHAO;5118;71
MATO GROSSO;5118;146
MATO GROSSO DO SUL;5118;373
MINAS GERAIS;5118;1831
PARA;5118;304
PARAIBA;5118;162
PARANA;5118;1978
PERNAMBUCO;5118;441
PIAUI;5118;113
RIO DE JANEIRO;5118;230
RIO GRANDE DO NORTE;5118;76
RIO GRANDE DO SUL;5118;574
RONDONIA;5118;635
RORAIMA;5118;27
SANTA CATARINA;5118;1560
SAO PAULO;5118;3401
SERGIPE;5118;96
TOCANTINS;5118;20
ACRE;5126;6
ALAGOAS;5126;4
AMAZONAS;5126;2
AMAPA;5126;4
BAHIA;5126;6
CEARA;5126;11
DISTRITO FEDERAL;5126;1
ESPIRITO SANTO;5126;47
MATO GROSSO;5126;1
MATO GROSSO DO SUL;5126;6
MINAS GERAIS;5126;50
PARAIBA;5126;3
PARANA;5126;66
PERNAMBUCO;5126;5
PIAUI;5126;1
RIO DE JANEIRO;5126;3
RIO GRANDE DO NORTE;5126;2
RIO GRANDE DO SUL;5126;41
RONDONIA;5126;6
SANTA CATARINA;5126;133
SAO PAULO;5126;268
SERGIPE;5126;3
ACRE;5134;14
ALAGOAS;5134;5
AMAZONAS;5134;3
AMAPA;5134;25
BAHIA;5134;23
CEARA;5134;85
DISTRITO FEDERAL;5134;11
ESPIRITO SANTO;5134;25
GOIAS;5134;15
MARANHAO;5134;3
MATO GROSSO;5134;7
MATO GROSSO DO SUL;5134;10
MINAS GERAIS;5134;139
PARA;5134;6
PARAIBA;5134;6
PARANA;5134;58
PERNAMBUCO;5134;21
PIAUI;5134;9
RIO DE JANEIRO;5134;23
RIO GRANDE DO NORTE;5134;12
RIO GRANDE DO SUL;5134;53
RONDONIA;5134;10
RORAIMA;5134;2
SANTA CATARINA;5134;29
SAO PAULO;5134;181
SERGIPE;5134;10
TOCANTINS;5134;1
ACRE;5142;75
ALAGOAS;5142;10
AMAZONAS;5142;7
AMAPA;5142;99
BAHIA;5142;131
CEARA;5142;503
DISTRITO FEDERAL;5142;27
ESPIRITO SANTO;5142;84
GOIAS;5142;29
MARANHAO;5142;9
MATO GROSSO;5142;7
MATO GROSSO DO SUL;5142;51
MINAS GERAIS;5142;348
PARA;5142;13
PARAIBA;5142;17
PARANA;5142;312
PERNAMBUCO;5142;60
PIAUI;5142;18
RIO DE JANEIRO;5142;28
RIO GRANDE DO NORTE;5142;28
RIO GRANDE DO SUL;5142;108
RONDONIA;5142;84
RORAIMA;5142;7
SANTA CATARINA;5142;409
SAO PAULO;5142;843
SERGIPE;5142;21
TOCANTINS;5142;3
ACRE;5150;2
ALAGOAS;5150;2
AMAZONAS;5150;1
BAHIA;5150;14
CEARA;5150;210
DISTRITO FEDERAL;5150;3
ESPIRITO SANTO;5150;7
GOIAS;5150;4
MARANHAO;5150;3
MATO GROSSO;5150;1
MATO GROSSO DO SUL;5150;2
MINAS GERAIS;5150;48
PARA;5150;1
PARAIBA;5150;5
PARANA;5150;4
PERNAMBUCO;5150;18
PIAUI;5150;5
RIO DE JANEIRO;5150;10
RIO GRANDE DO NORTE;5150;11
RIO GRANDE DO SUL;5150;23
RONDONIA;5150;1
SANTA CATARINA;5150;15
SAO PAULO;5150;31
SERGIPE;5150;4
ACRE;5169;413
ALAGOAS;5169;117
AMAZONAS;5169;152
AMAPA;5169;259
BAHIA;5169;127
CEARA;5169;78
DISTRITO FEDERAL;5169;497
ESPIRITO SANTO;5169;106
GOIAS;5169;579
MARANHAO;5169;81
MATO GROSSO;5169;595
MATO GROSSO DO SUL;5169;216
MINAS GERAIS;5169;2291
PARA;5169;203
PARAIBA;5169;63
PARANA;5169;545
PERNAMBUCO;5169;194
PIAUI;5169;18
RIO DE JANEIRO;5169;455
RIO GRANDE DO NORTE;5169;42
RIO GRANDE DO SUL;5169;196
RONDONIA;5169;683
RORAIMA;5169;174
SANTA CATARINA;5169;324
SAO PAULO;5169;1599
SERGIPE;5169;41
TOCANTINS;5169;41
ACRE;5177;33
AMAZONAS;5177;4
AMAPA;5177;9
BAHIA;5177;3
CEARA;5177;2
DISTRITO FEDERAL;5177;8
GOIAS;5177;6
MATO GROSSO;5177;1
MATO GROSSO DO SUL;5177;6
MINAS GERAIS;5177;110
PARAIBA;5177;1
PARANA;5177;37
PERNAMBUCO;5177;2
RIO DE JANEIRO;5177;1
RIO GRANDE DO SUL;5177;6
RONDONIA;5177;13
RORAIMA;5177;1
SANTA CATARINA;5177;9
SAO PAULO;5177;34
SERGIPE;5177;1
TOCANTINS;5177;2
ACRE;5185;1166
ALAGOAS;5185;2315
AMAZONAS;5185;7910
AMAPA;5185;848
BAHIA;5185;8348
CEARA;5185;3883
DISTRITO FEDERAL;5185;13053
ESPIRITO SANTO;5185;2071
GOIAS;5185;12212
MARANHAO;5185;2786
MATO GROSSO;5185;5498
MATO GROSSO DO SUL;5185;3307
MINAS GERAIS;5185;24465
PARA;5185;2278
PARAIBA;5185;2726
PARANA;5185;11763
PERNAMBUCO;5185;4108
PIAUI;5185;442
RIO DE JANEIRO;5185;7138
RIO GRANDE DO NORTE;5185;2781
RIO GRANDE DO SUL;5185;5176
RONDONIA;5185;1527
RORAIMA;5185;337
SANTA CATARINA;5185;17032
SAO PAULO;5185;72560
SERGIPE;5185;300
TOCANTINS;5185;1240
ACRE;5193;104
ALAGOAS;5193;90
AMAZONAS;5193;162
AMAPA;5193;60
BAHIA;5193;414
CEARA;5193;459
DISTRITO FEDERAL;5193;271
ESPIRITO SANTO;5193;166
GOIAS;5193;431
MARANHAO;5193;274
MATO GROSSO;5193;981
MATO GROSSO DO SUL;5193;294
MINAS GERAIS;5193;1106
PARA;5193;254
PARAIBA;5193;112
PARANA;5193;1109
PERNAMBUCO;5193;209
PIAUI;5193;70
RIO DE JANEIRO;5193;268
RIO GRANDE DO NORTE;5193;116
RIO GRANDE DO SUL;5193;415
RONDONIA;5193;145
RORAIMA;5193;35
SANTA CATARINA;5193;707
SAO PAULO;5193;2957
SERGIPE;5193;35
TOCANTINS;5193;76
ACRE;5207;78
ALAGOAS;5207;350
AMAZONAS;5207;89
AMAPA;5207;22
BAHIA;5207;1104
CEARA;5207;213
DISTRITO FEDERAL;5207;1398
ESPIRITO SANTO;5207;160
GOIAS;5207;982
MARANHAO;5207;99
MATO GROSSO;5207;110
MATO GROSSO DO SUL;5207;99
MINAS GERAIS;5207;1783
PARA;5207;83
PARAIBA;5207;57
PARANA;5207;293
PERNAMBUCO;5207;346
PIAUI;5207;28
RIO DE JANEIRO;5207;192
RIO GRANDE DO NORTE;5207;118
RIO GRANDE DO SUL;5207;251
RONDONIA;5207;194
RORAIMA;5207;34
SANTA CATARINA;5207;869
SAO PAULO;5207;3800
SERGIPE;5207;33
TOCANTINS;5207;22
ACRE;5215;57
ALAGOAS;5215;44
AMAZONAS;5215;51
AMAPA;5215;7
BAHIA;5215;129
CEARA;5215;40
DISTRITO FEDERAL;5215;38
ESPIRITO SANTO;5215;13
GOIAS;5215;80
MARANHAO;5215;41
MATO GROSSO;5215;21
MATO GROSSO DO SUL;5215;18
MINAS GERAIS;5215;279
PARA;5215;84
PARAIBA;5215;36
PARANA;5215;100
PERNAMBUCO;5215;57
PIAUI;5215;5
RIO DE JANEIRO;5215;688
RIO GRANDE DO NORTE;5215;16
RIO GRANDE DO SUL;5215;33
RONDONIA;5215;47
RORAIMA;5215;17
SANTA CATARINA;5215;57
SAO PAULO;5215;841
SERGIPE;5215;5
TOCANTINS;5215;9
ACRE;5223;2
ALAGOAS;5223;2
AMAZONAS;5223;2
AMAPA;5223;3
BAHIA;5223;9
CEARA;5223;6
GOIAS;5223;2
MARANHAO;5223;4
MINAS GERAIS;5223;7
PARA;5223;1
PARAIBA;5223;2
PERNAMBUCO;5223;4
RIO DE JANEIRO;5223;5
RIO GRANDE DO NORTE;5223;4
RIO GRANDE DO SUL;5223;5
RONDONIA;5223;1
ACRE;5231;1
ALAGOAS;5231;9
AMAZONAS;5231;4
AMAPA;5231;2
BAHIA;5231;10
CEARA;5231;15
DISTRITO FEDERAL;5231;40
ESPIRITO SANTO;5231;14
GOIAS;5231;22
MARANHAO;5231;7
MATO GROSSO;5231;5
MATO GROSSO DO SUL;5231;5
MINAS GERAIS;5231;72
PARA;5231;3
PARAIBA;5231;2
PARANA;5231;58
PERNAMBUCO;5231;16
PIAUI;5231;1
RIO DE JANEIRO;5231;22
RIO GRANDE DO NORTE;5231;1
RIO GRANDE DO SUL;5231;24
RONDONIA;5231;2
RORAIMA;5231;1
SANTA CATARINA;5231;58
SAO PAULO;5231;164
TOCANTINS;5231;3
ACRE;5240;2
ALAGOAS;5240;2
AMAZONAS;5240;1
AMAPA;5240;1
BAHIA;5240;5
CEARA;5240;2
DISTRITO FEDERAL;5240;1
GOIAS;5240;3
MATO GROSSO;5240;2
MINAS GERAIS;5240;8
PARA;5240;5
PARANA;5240;4
RIO DE JANEIRO;5240;5
RIO GRANDE DO SUL;5240;3
SANTA CATARINA;5240;7
SAO PAULO;5240;20
SERGIPE;5240;2
ACRE;5258;2
ALAGOAS;5258;3
AMAPA;5258;1
BAHIA;5258;4
DISTRITO FEDERAL;5258;2
ESPIRITO SANTO;5258;3
GOIAS;5258;11
MARANHAO;5258;3
MATO GROSSO;5258;4
MATO GROSSO DO SUL;5258;1
MINAS GERAIS;5258;36
PARA;5258;4
PARAIBA;5258;1
PARANA;5258;1
PERNAMBUCO;5258;4
RIO DE JANEIRO;5258;2
RIO GRANDE DO SUL;5258;1
RONDONIA;5258;4
SANTA CATARINA;5258;21
SAO PAULO;5258;105
ACRE;5266;4
AMAZONAS;5266;2
BAHIA;5266;53
CEARA;5266;3
DISTRITO FEDERAL;5266;2
ESPIRITO SANTO;5266;1
GOIAS;5266;3
MATO GROSSO;5266;1
MATO GROSSO DO SUL;5266;2
MINAS GERAIS;5266;7
PARA;5266;2
PARAIBA;5266;1
PARANA;5266;24
PERNAMBUCO;5266;3
RIO DE JANEIRO;5266;6
RIO GRANDE DO SUL;5266;9
RONDONIA;5266;3
RORAIMA;5266;1
SANTA CATARINA;5266;7
SAO PAULO;5266;73
SERGIPE;5266;1
TOCANTINS;5266;1
ACRE;5274;126
ALAGOAS;5274;89
AMAZONAS;5274;31
AMAPA;5274;37
BAHIA;5274;315
CEARA;5274;129
DISTRITO FEDERAL;5274;109
ESPIRITO SANTO;5274;39
GOIAS;5274;366
MARANHAO;5274;52
MATO GROSSO;5274;124
MATO GROSSO DO SUL;5274;52
MINAS GERAIS;5274;366
PARA;5274;53
PARAIBA;5274;34
PARANA;5274;305
PERNAMBUCO;5274;191
PIAUI;5274;8
RIO DE JANEIRO;5274;363
RIO GRANDE DO NORTE;5274;20
RIO GRANDE DO SUL;5274;91
RONDONIA;5274;157
RORAIMA;5274;87
SANTA CATARINA;5274;369
SAO PAULO;5274;1394
SERGIPE;5274;12
TOCANTINS;5274;20
ACRE;5282;16
ALAGOAS;5282;3
AMAZONAS;5282;1
AMAPA;5282;10
BAHIA;5282;7
CEARA;5282;1
DISTRITO FEDERAL;5282;3
ESPIRITO SANTO;5282;7
GOIAS;5282;8
MARANHAO;5282;2
MATO GROSSO;5282;7
MATO GROSSO DO SUL;5282;11
MINAS GERAIS;5282;27
PARAIBA;5282;2
PARANA;5282;16
PERNAMBUCO;5282;1
RIO DE JANEIRO;5282;6
RIO GRANDE DO NORTE;5282;2
RIO GRANDE DO SUL;5282;2
RONDONIA;5282;4
RORAIMA;5282;9
SANTA CATARINA;5282;29
SAO PAULO;5282;18
SERGIPE;5282;1
TOCANTINS;5282;1
ACRE;5290;3
AMAPA;5290;1
BAHIA;5290;1
CEARA;5290;1
DISTRITO FEDERAL;5290;5
ESPIRITO SANTO;5290;3
GOIAS;5290;2
MINAS GERAIS;5290;5
PARANA;5290;4
PERNAMBUCO;5290;1
RIO DE JANEIRO;5290;3
RIO GRANDE DO NORTE;5290;1
RIO GRANDE DO SUL;5290;3
RONDONIA;5290;1
SANTA CATARINA;5290;16
SAO PAULO;5290;9
ACRE;5304;5
ALAGOAS;5304;1
AMAPA;5304;2
CEARA;5304;2
DISTRITO FEDERAL;5304;2
GOIAS;5304;1
MATO GROSSO;5304;2
MATO GROSSO DO SUL;5304;2
MINAS GERAIS;5304;14
PARAIBA;5304;3
PARANA;5304;3
PERNAMBUCO;5304;1
RIO GRANDE DO NORTE;5304;2
