UF;Cod_Infracao;Quantidade
ACRE;5002;13
ALAGOAS;5002;43
AMAZONAS;5002;87
AMAPA;5002;3
BAHIA;5002;239
CEARA;5002;52
DISTRITO FEDERAL;5002;191
ESPIRITO SANTO;5002;221
GOIAS;5002;1225
MARANHAO;5002;32
MATO GROSSO;5002;678
MATO GROSSO DO SUL;5002;4553
MINAS GERAIS;5002;10548
PARA;5002;58
PARAIBA;5002;24
PARANA;5002;10143
PERNAMBUCO;5002;121
PIAUI;5002;14
RIO DE JANEIRO;5002;863
RIO GRANDE DO NORTE;5002;28
RIO GRANDE DO SUL;5002;6940
RONDONIA;5002;53
RORAIMA;5002;4
SANTA CATARINA;5002;8652
SAO PAULO;5002;51563
SERGIPE;5002;26
TOCANTINS;5002;44
ACRE;5010;1081
ALAGOAS;5010;780
AMAZONAS;5010;326
AMAPA;5010;1033
BAHIA;5010;1962
CEARA;5010;1614
DISTRITO FEDERAL;5010;383
ESPIRITO SANTO;5010;1109
GOIAS;5010;1505
MARANHAO;5010;1106
MATO GROSSO;5010;1140
MATO GROSSO DO SUL;5010;824
MINAS GERAIS;5010;10573
PARA;5010;2960
PARAIBA;5010;618
PARANA;5010;2708
PERNAMBUCO;5010;3380
PIAUI;5010;202
RIO DE JANEIRO;5010;6389
RIO GRANDE DO NORTE;5010;639
RIO GRANDE DO SUL;5010;2263
RONDONIA;5010;1114
RORAIMA;5010;25
SANTA CATARINA;5010;2389
SAO PAULO;5010;13358
SERGIPE;5010;393
TOCANTINS;5010;164
ACRE;5029;15
ALAGOAS;5029;2
AMAZONAS;5029;11
AMAPA;5029;14
BAHIA;5029;11
CEARA;5029;5
DISTRITO FEDERAL;5029;9
ESPIRITO SANTO;5029;134
GOIAS;5029;17
MARANHAO;5029;2
MATO GROSSO;5029;2
MATO GROSSO DO SUL;5029;22
MINAS GERAIS;5029;317
PARA;5029;6
PARAIBA;5029;9
PARANA;5029;137
PERNAMBUCO;5029;46
PIAUI;5029;1
RIO DE JANEIRO;5029;427
RIO GRANDE DO SUL;5029;230
RONDONIA;5029;9
SANTA CATARINA;5029;385
SAO PAULO;5029;1307
SERGIPE;5029;4
ACRE;5037;32
ALAGOAS;5037;37
AMAZONAS;5037;39
AMAPA;5037;56
BAHIA;5037;70
CEARA;5037;83
DISTRITO FEDERAL;5037;30
ESPIRITO SANTO;5037;47
GOIAS;5037;61
MARANHAO;5037;40
MATO GROSSO;5037;31
MATO GROSSO DO SUL;5037;37
MINAS GERAIS;5037;845
PARA;5037;65
PARAIBA;5037;15
PARANA;5037;162
PERNAMBUCO;5037;91
PIAUI;5037;15
RIO DE JANEIRO;5037;417
RIO GRANDE DO NORTE;5037;23
RIO GRANDE DO SUL;5037;368
RONDONIA;5037;18
RORAIMA;5037;1
SANTA CATARINA;5037;93
SAO PAULO;5037;1127
SERGIPE;5037;14
TOCANTINS;5037;3
ACRE;5045;498
ALAGOAS;5045;57
AMAZONAS;5045;84
AMAPA;5045;297
BAHIA;5045;451
CEARA;5045;541
DISTRITO FEDERAL;5045;219
ESPIRITO SANTO;5045;254
GOIAS;5045;271
MARANHAO;5045;117
MATO GROSSO;5045;89
MATO GROSSO DO SUL;5045;224
MINAS GERAIS;5045;2432
PARA;5045;268
PARAIBA;5045;93
PARANA;5045;875
PERNAMBUCO;5045;573
PIAUI;5045;33
RIO DE JANEIRO;5045;695
RIO GRANDE DO NORTE;5045;132
RIO GRANDE DO SUL;5045;905
RONDONIA;5045;239
RORAIMA;5045;3
SANTA CATARINA;5045;1213
SAO PAULO;5045;4968
SERGIPE;5045;100
TOCANTINS;5045;37
ACRE;5053;12
ALAGOAS;5053;20
AMAZONAS;5053;9
AMAPA;5053;3
BAHIA;5053;50
CEARA;5053;246
DISTRITO FEDERAL;5053;4
ESPIRITO SANTO;5053;8
GOIAS;5053;21
MARANHAO;5053;7
MATO GROSSO;5053;10
MATO GROSSO DO SUL;5053;15
MINAS GERAIS;5053;292
PARA;5053;141
PARAIBA;5053;37
PARANA;5053;43
PERNAMBUCO;5053;190
PIAUI;5053;7
RIO DE JANEIRO;5053;34
RIO GRANDE DO NORTE;5053;18
RIO GRANDE DO SUL;5053;54
RONDONIA;5053;12
RORAIMA;5053;3
SANTA CATARINA;5053;83
SAO PAULO;5053;283
SERGIPE;5053;7
TOCANTINS;5053;9
ACRE;5061;29
ALAGOAS;5061;18
AMAZONAS;5061;25
AMAPA;5061;12
BAHIA;5061;78
CEARA;5061;55
DISTRITO FEDERAL;5061;12
ESPIRITO SANTO;5061;34
GOIAS;5061;26
MARANHAO;5061;21
MATO GROSSO;5061;13
MATO GROSSO DO SUL;5061;28
MINAS GERAIS;5061;128
PARA;5061;54
PARAIBA;5061;20
PARANA;5061;58
PERNAMBUCO;5061;47
PIAUI;5061;4
RIO DE JANEIRO;5061;65
RIO GRANDE DO NORTE;5061;6
RIO GRANDE DO SUL;5061;43
RONDONIA;5061;48
RORAIMA;5061;2
SANTA CATARINA;5061;98
SAO PAULO;5061;404
SERGIPE;5061;8
TOCANTINS;5061;5
AMAZONAS;5070;1
CEARA;5070;2
ESPIRITO SANTO;5070;2
MINAS GERAIS;5070;4
PARANA;5070;11
PERNAMBUCO;5070;1
RIO DE JANEIRO;5070;6
RIO GRANDE DO SUL;5070;7
SANTA CATARINA;5070;8
SAO PAULO;5070;32
ACRE;5088;1
ALAGOAS;5088;1
AMAZONAS;5088;1
AMAPA;5088;1
BAHIA;5088;2
CEARA;5088;7
DISTRITO FEDERAL;5088;3
GOIAS;5088;1
MARANHAO;5088;1
MINAS GERAIS;5088;6
PARA;5088;7
PARANA;5088;11
PERNAMBUCO;5088;3
PIAUI;5088;2
RIO DE JANEIRO;5088;7
RIO GRANDE DO NORTE;5088;2
RIO GRANDE DO SUL;5088;14
RONDONIA;5088;1
SANTA CATARINA;5088;4
SAO PAULO;5088;21
ACRE;5096;9
ALAGOAS;5096;2
AMAZONAS;5096;1
AMAPA;5096;1
BAHIA;5096;10
CEARA;5096;48
DISTRITO FEDERAL;5096;6
ESPIRITO SANTO;5096;3
GOIAS;5096;4
MARANHAO;5096;1
MATO GROSSO;5096;3
MATO GROSSO DO SUL;5096;9
MINAS GERAIS;5096;23
PARA;5096;2
PARAIBA;5096;2
PARANA;5096;47
PERNAMBUCO;5096;9
PIAUI;5096;1
RIO DE JANEIRO;5096;10
RIO GRANDE DO NORTE;5096;2
RIO GRANDE DO SUL;5096;69
RONDONIA;5096;4
SANTA CATARINA;5096;46
SAO PAULO;5096;118
SERGIPE;5096;1
TOCANTINS;5096;1
ALAGOAS;5100;2
BAHIA;5100;2
CEARA;5100;19
DISTRITO FEDERAL;5100;1
MINAS GERAIS;5100;2
PARA;5100;1
RIO GRANDE DO NORTE;5100;1
SANTA CATARINA;5100;6
SAO PAULO;5100;6
ACRE;5118;514
ALAGOAS;5118;166
AMAZONAS;5118;75
AMAPA;5118;476
BAHIA;5118;368
CEARA;5118;1124
DISTRITO FEDERAL;5118;47
ESPIRITO SANTO;5118;506
GOIAS;5118;110
MARANHAO;5118;42
MATO GROSSO;5118;88
MATO GROSSO DO SUL;5118;351
MINAS GERAIS;5118;1556
PARA;5118;557
PARAIBA;5118;141
PARANA;5118;1822
PERNAMBUCO;5118;798
PIAUI;5118;34
RIO DE JANEIRO;5118;928
RIO GRANDE DO NORTE;5118;44
RIO GRANDE DO SUL;5118;425
RONDONIA;5118;436
RORAIMA;5118;7
SANTA CATARINA;5118;1032
SAO PAULO;5118;3322
SERGIPE;5118;42
TOCANTINS;5118;23
ACRE;5126;7
ALAGOAS;5126;1
AMAZONAS;5126;2
AMAPA;5126;5
BAHIA;5126;5
CEARA;5126;6
ESPIRITO SANTO;5126;44
GOIAS;5126;3
MATO GROSSO;5126;1
MATO GROSSO DO SUL;5126;10
MINAS GERAIS;5126;62
PARA;5126;7
PARAIBA;5126;2
PARANA;5126;58
PERNAMBUCO;5126;4
PIAUI;5126;3
RIO DE JANEIRO;5126;38
RIO GRANDE DO SUL;5126;37
RONDONIA;5126;1
SANTA CATARINA;5126;102
SAO PAULO;5126;314
SERGIPE;5126;3
ACRE;5134;11
ALAGOAS;5134;7
AMAZONAS;5134;3
AMAPA;5134;21
BAHIA;5134;14
CEARA;5134;45
DISTRITO FEDERAL;5134;3
ESPIRITO SANTO;5134;11
GOIAS;5134;8
MARANHAO;5134;5
MATO GROSSO;5134;2
MATO GROSSO DO SUL;5134;11
MINAS GERAIS;5134;126
PARA;5134;14
PARAIBA;5134;5
PARANA;5134;48
PERNAMBUCO;5134;16
PIAUI;5134;3
RIO DE JANEIRO;5134;47
RIO GRANDE DO NORTE;5134;6
RIO GRANDE DO SUL;5134;34
RONDONIA;5134;5
SANTA CATARINA;5134;34
SAO PAULO;5134;192
SERGIPE;5134;1
TOCANTINS;5134;1
ACRE;5142;94
ALAGOAS;5142;6
AMAZONAS;5142;11
AMAPA;5142;75
BAHIA;5142;65
CEARA;5142;325
DISTRITO FEDERAL;5142;21
ESPIRITO SANTO;5142;72
GOIAS;5142;20
MARANHAO;5142;5
MATO GROSSO;5142;7
MATO GROSSO DO SUL;5142;57
MINAS GERAIS;5142;339
PARA;5142;11
PARAIBA;5142;13
PARANA;5142;276
