UF;Cod _Infração;Quantidade
ACRE;5002;214
ACRE;5010;392
ACRE;5029;3
ACRE;5037;8
ACRE;5045;204
ACRE;5053;2
ACRE;5061;7
ACRE;5088;1
ACRE;5096;3
ACRE;5118;222
ACRE;5134;1
ACRE;5142;65
ACRE;5150;1
ACRE;5169;188
ACRE;5177;13
ACRE;5185;252
ACRE;5193;22
ACRE;5207;26
ACRE;5215;11
ACRE;5231;1
ACRE;5258;1
ACRE;5274;35
ACRE;5282;1
ACRE;5320;1
ACRE;5371;1
ACRE;5380;17
ACRE;5401;8
ACRE;5410;9
ACRE;5428;2
ACRE;5444;2
ACRE;5452;258
ACRE;5460;25
ACRE;5479;9
ACRE;5487;49
ACRE;5495;2
ACRE;5509;25
ACRE;5517;2
ACRE;5525;42
ACRE;5541;224
ACRE;5550;328
ACRE;5568;161
ACRE;5584;1
ACRE;5592;6
ACRE;5614;2
ACRE;5622;43
ACRE;5630;2
ACRE;5657;3
ACRE;5665;36
ACRE;5673;15
ACRE;5681;7
ACRE;5703;11
ACRE;5711;1
ACRE;5720;34
ACRE;5738;92
ACRE;5746;28
ACRE;5770;3
ACRE;5797;1
ACRE;5800;1
ACRE;5819;239
ACRE;5827;2
ACRE;5835;43
ACRE;5843;10
ACRE;5878;4
ACRE;5924;1
ACRE;5959;11
ACRE;5967;16
ACRE;5975;2
ACRE;5991;14
ACRE;6009;1
ACRE;6017;27
ACRE;6025;1
ACRE;6041;133
ACRE;6050;564
ACRE;6068;30
ACRE;6076;14
ACRE;6122;16
ACRE;6173;3
ACRE;6262;1
ACRE;6270;5
ACRE;6408;24
ACRE;6440;1
ACRE;6483;1
ACRE;6530;9
ACRE;6556;15
ACRE;6564;18
ACRE;6580;30
ACRE;6599;769
ACRE;6602;7
ACRE;6610;13
ACRE;6637;66
ACRE;6645;9
ACRE;6653;85
ACRE;6661;69
ACRE;6670;47
ACRE;6700;15
ACRE;6726;45
ACRE;6750;1
ACRE;6769;26
ACRE;6807;3
ACRE;6823;7
ACRE;6831;158
ACRE;6840;2
ACRE;6858;29
ACRE;6866;48
ACRE;6882;2
ACRE;6890;1
ACRE;6904;8
ACRE;6912;4
ACRE;6920;4
ACRE;6939;1
ACRE;6971;1
ACRE;6980;1
ACRE;7030;53
ACRE;7048;51
ACRE;7056;13
ACRE;7072;12
ACRE;7080;1
ACRE;7099;4
ACRE;7218;1
ACRE;7234;8
ACRE;7242;1
ACRE;7269;5
ACRE;7285;2
ACRE;7315;1
ACRE;7323;2
ACRE;7340;258
ACRE;7358;2
ACRE;7366;50
ACRE;7374;3
ACRE;7455;1197
ACRE;7463;266
ACRE;7471;55
ACRE;7579;18
ACRE;7587;32
ACRE;7625;71
ACRE;7633;361
ACRE;7670;1
ACRE;7684;56
ACRE;7714;2
ACRE;7730;2
ACRE;7749;1
ALAGOAS;5002;1406
ALAGOAS;5010;340
ALAGOAS;5029;3
ALAGOAS;5037;19
ALAGOAS;5045;49
ALAGOAS;5053;9
ALAGOAS;5061;11
ALAGOAS;5096;1
ALAGOAS;5118;100
ALAGOAS;5126;1
ALAGOAS;5134;3
ALAGOAS;5142;3
ALAGOAS;5169;19
ALAGOAS;5177;1
ALAGOAS;5185;1533
ALAGOAS;5193;67
ALAGOAS;5207;127
ALAGOAS;5215;42
ALAGOAS;5223;3
ALAGOAS;5231;5
ALAGOAS;5258;2
ALAGOAS;5266;6
ALAGOAS;5274;42
ALAGOAS;5282;2
ALAGOAS;5290;1
ALAGOAS;5347;5
ALAGOAS;5363;1
ALAGOAS;5371;2
ALAGOAS;5380;151
ALAGOAS;5398;2
ALAGOAS;5401;67
ALAGOAS;5410;16
ALAGOAS;5428;14
ALAGOAS;5444;49
ALAGOAS;5452;573
ALAGOAS;5460;65
ALAGOAS;5479;36
ALAGOAS;5487;217
ALAGOAS;5495;1
ALAGOAS;5509;45
ALAGOAS;5517;1
ALAGOAS;5525;65
ALAGOAS;5541;545
ALAGOAS;5550;895
ALAGOAS;5568;573
ALAGOAS;5584;2
ALAGOAS;5592;50
ALAGOAS;5606;1
ALAGOAS;5614;12
ALAGOAS;5622;47
ALAGOAS;5630;47
ALAGOAS;5649;1
ALAGOAS;5657;3
ALAGOAS;5665;758
ALAGOAS;5673;179
ALAGOAS;5681;210
ALAGOAS;5690;14
ALAGOAS;5703;29
ALAGOAS;5711;1
ALAGOAS;5720;57
ALAGOAS;5738;299
ALAGOAS;5746;154
ALAGOAS;5770;13
ALAGOAS;5797;6
ALAGOAS;5800;2
ALAGOAS;5819;188
ALAGOAS;5827;2
ALAGOAS;5835;85
ALAGOAS;5843;52
ALAGOAS;5851;7
ALAGOAS;5860;3
ALAGOAS;5878;12
ALAGOAS;5908;8
ALAGOAS;5924;2
ALAGOAS;5932;2
ALAGOAS;5940;5
ALAGOAS;5959;1
ALAGOAS;5967;86
ALAGOAS;5975;36
ALAGOAS;5991;125
ALAGOAS;6009;2
ALAGOAS;6017;79
ALAGOAS;6025;3
ALAGOAS;6033;2
ALAGOAS;6041;1144
ALAGOAS;6050;2791
ALAGOAS;6068;70
ALAGOAS;6076;12
ALAGOAS;6084;12
ALAGOAS;6122;161
ALAGOAS;6130;19
ALAGOAS;6149;3
ALAGOAS;6157;3
ALAGOAS;6165;2
ALAGOAS;6173;2
ALAGOAS;6181;3
ALAGOAS;6190;2
ALAGOAS;6270;38
ALAGOAS;6394;7
ALAGOAS;6408;7
ALAGOAS;6432;11
ALAGOAS;6440;1
ALAGOAS;6459;1
ALAGOAS;6483;2
ALAGOAS;6491;7
