UF;Codigo_Infracao;Quantidade
AMAPA;7625;1
BAHIA;7625;8
CEARA;7625;163
DISTRITO FEDERAL;7625;12
ESPIRITO SANTO;7625;8
GOIAS;7625;11
MARANHAO;7625;5
MATO GROSSO;7625;14
MATO GROSSO DO SUL;7625;76
MINAS GERAIS;7625;1143
PARA;7625;4
PARAIBA;7625;237
PARANA;7625;159
PERNAMBUCO;7625;75
PIAUI;7625;13
RIO DE JANEIRO;7625;13
RIO GRANDE DO NORTE;7625;21
RIO GRANDE DO SUL;7625;109
RONDONIA;7625;4
RORAIMA;7625;5
SANTA CATARINA;7625;11
SAO PAULO;7625;1401
TOCANTINS;7625;1
ACRE;7633;35
ALAGOAS;7633;157
AMAZONAS;7633;253
AMAPA;7633;7
BAHIA;7633;263
CEARA;7633;290
DISTRITO FEDERAL;7633;893
ESPIRITO SANTO;7633;79
GOIAS;7633;670
MARANHAO;7633;41
MATO GROSSO;7633;112
MATO GROSSO DO SUL;7633;594
MINAS GERAIS;7633;10377
PARA;7633;43
PARAIBA;7633;432
PARANA;7633;690
PERNAMBUCO;7633;257
PIAUI;7633;87
RIO DE JANEIRO;7633;406
RIO GRANDE DO NORTE;7633;464
RIO GRANDE DO SUL;7633;463
RONDONIA;7633;94
RORAIMA;7633;299
SANTA CATARINA;7633;527
SAO PAULO;7633;10950
SERGIPE;7633;33
TOCANTINS;7633;11
